"KS","Group","id"
"BORA","Non-Kinase",296
"BRAF","TKL",297
"BRCA1","Non-Kinase",298
"BRCA2","Non-Kinase",299
"BRD2","ATYPICAL",300
"BRD3","ATYPICAL",301
"BRD4","ATYPICAL",302
"BRD9","Non-Kinase",303
"BRDT","ATYPICAL",304
"BRF1","Non-Kinase",305
"BRMS1","Non-Kinase",306
"BRSK1","CAMK",307
"BRSK2","CAMK",308
"BSG","Non-Kinase",309
"BTG1","Non-Kinase",310
"BTG2","Non-Kinase",311
"BTK","TK",312
"BTLA","Non-Kinase",313
"BTRC","Non-Kinase",314
"BUB1","OTHER",315
"BUB1B","OTHER",316
"BUB3","Non-Kinase",317
"BUD13","Non-Kinase",318
"C1orf112","Non-Kinase",319
"C1orf198","Non-Kinase",320
"C1QBP","Non-Kinase",321
"C1R","Non-Kinase",322
"C2CD5","Non-Kinase",323
"C2orf49","Non-Kinase",324
"C5AR1","Non-Kinase",325
"C9orf40","Non-Kinase",326
"CA9","Non-Kinase",327
"CAAP1","Non-Kinase",328
"CABLES1","Non-Kinase",329
"CABP1","Non-Kinase",330
"CABYR","Non-Kinase",331
"CACNA1B","Non-Kinase",332
"CACNA1C","Non-Kinase",333
"CACNA1D","Non-Kinase",334
"CACNA1H","Non-Kinase",335
"CACNA1S","Non-Kinase",336
"CACNB1","Non-Kinase",337
"CACNB2","Non-Kinase",338
"CACNG2","Non-Kinase",339
"CAD","Non-Kinase",340
"CALD1","Non-Kinase",341
"CALM1","Non-Kinase",342
"CALM2","Non-Kinase",343
"CALM3","Non-Kinase",344
"CALU","Non-Kinase",345
"CAMK1","CAMK",346
"CAMK1D","CAMK",347
"CAMK1G","CAMK",348
"CAMK2A","CAMK",349
"CAMK2B","CAMK",350
"CAMK2D","CAMK",351
"CAMK2G","CAMK",352
"CAMK4","CAMK",353
"CAMKK1","OTHER",354
"CAMKK2","OTHER",355
"CAMKV","CAMK",356
"CAMSAP1","Non-Kinase",357
"CAMSAP2","Non-Kinase",358
"CANX","Non-Kinase",359
"CAP1","Non-Kinase",360
"CAPN1","Non-Kinase",361
"CAPN2","Non-Kinase",362
"CAPZA1","Non-Kinase",363
"CAPZB","Non-Kinase",364
"CARD11","Non-Kinase",365
"CARD9","Non-Kinase",366
"CARHSP1","Non-Kinase",367
"CARM1","Non-Kinase",368
"CASK","CAMK",369
"CASKIN1","Non-Kinase",370
"CASP1","Non-Kinase",371
"CASP2","Non-Kinase",372
"CASP3","Non-Kinase",373
"CASP6","Non-Kinase",374
"CASP7","Non-Kinase",375
"CASP8","Non-Kinase",376
"CASP9","Non-Kinase",377
"CASQ2","Non-Kinase",378
"CASR","Non-Kinase",379
"CAST","Non-Kinase",380
"CASTOR1","Non-Kinase",381
"CAT","Non-Kinase",382
"CAV1","Non-Kinase",383
"CAV2","Non-Kinase",384
"CAVIN1","Non-Kinase",385
"CBL","Non-Kinase",386
"CBLB","Non-Kinase",387
"CBLC","Non-Kinase",388
"CBS","Non-Kinase",389
"CBX1","Non-Kinase",390
"CBX3","Non-Kinase",391
"CBX4","Non-Kinase",392
"CBX5","Non-Kinase",393
"CBX8","Non-Kinase",394
"CBY1","Non-Kinase",395
"CC2D1A","Non-Kinase",396
"CCAR2","Non-Kinase",397
"CCDC50","Non-Kinase",398
"CCDC6","Non-Kinase",399
"CCDC80","Non-Kinase",400
"CCDC82","Non-Kinase",401
"CCDC86","Non-Kinase",402
"CCDC88A","Non-Kinase",403
"CCDC88C","Non-Kinase",404
"CCM2","Non-Kinase",405
"CCNA2","Non-Kinase",406
"CCNB1","Non-Kinase",407
"CCND1","Non-Kinase",408
"CCND2","Non-Kinase",409
"CCND3","Non-Kinase",410
"CCNE1","Non-Kinase",411
"CCNF","Non-Kinase",412
"CCNH","Non-Kinase",413
"CCNL2","Non-Kinase",414
"CCNO","Non-Kinase",415
"CCNT1","Non-Kinase",416
"CCNY","Non-Kinase",417
"CCP110","Non-Kinase",418
"CCR2","Non-Kinase",419
"CCR5","Non-Kinase",420
"CCR7","Non-Kinase",421
"CCT2","Non-Kinase",422
"CD163","Non-Kinase",423
"CD19","Non-Kinase",424
"CD226","Non-Kinase",425
"CD247","Non-Kinase",426
"CD274","Non-Kinase",427
"CD28","Non-Kinase",428
"CD300LB","Non-Kinase",429
"CD300LF","Non-Kinase",430
"CD33","Non-Kinase",431
"CD34","Non-Kinase",432
"CD36","Non-Kinase",433
"CD3E","Non-Kinase",434
"CD3G","Non-Kinase",435
"CD4","Non-Kinase",436
"CD44","Non-Kinase",437
"CD46","Non-Kinase",438
"CD5","Non-Kinase",439
"CD6","Non-Kinase",440
"CD72","Non-Kinase",441
"CD79A","Non-Kinase",442
"CD79B","Non-Kinase",443
"CD93","Non-Kinase",444
"CDC14A","Non-Kinase",445
"CDC16","Non-Kinase",446
"CDC20","Non-Kinase",447
"CDC23","Non-Kinase",448
"CDC25A","Non-Kinase",449
"CDC25B","Non-Kinase",450
"CDC25C","Non-Kinase",451
"CDC26","Non-Kinase",452
"CDC27","Non-Kinase",453
"CDC34","Non-Kinase",454
"CDC37","Non-Kinase",455
"CDC42","Non-Kinase",456
"CDC42BPA","AGC",457
"CDC42BPB","AGC",458
"CDC42BPG","AGC",459
"CDC42EP1","Non-Kinase",460
"CDC42EP2","Non-Kinase",461
"CDC42EP4","Non-Kinase",462
"CDC5L","Non-Kinase",463
"CDC6","Non-Kinase",464
"CDC7","OTHER",465
"CDC73","Non-Kinase",466
"CDCA2","Non-Kinase",467
"CDCA5","Non-Kinase",468
"CDCA7","Non-Kinase",469
"CDCA8","Non-Kinase",470
"CDCP1","Non-Kinase",471
"CDH1","Non-Kinase",472
"CDH2","Non-Kinase",473
"CDH5","Non-Kinase",474
"CDK1","CMGC",475
"CDK10","CMGC",476
"CDK11A","CMGC",477
"CDK11B","CMGC",478
"CDK12","CMGC",479
"CDK13","CMGC",480
"CDK14","CMGC",481
"CDK15","CMGC",482
"CDK16","CMGC",483
"CDK17","CMGC",484
"CDK18","CMGC",485
"CDK19","CMGC",486
"CDK2","CMGC",487
"CDK20","CMGC",488
"CDK2AP1","Non-Kinase",489
"CDK3","CMGC",490
"CDK4","CMGC",491
"CDK5","CMGC",492
"CDK5R1","Non-Kinase",493
"CDK5RAP2","Non-Kinase",494
"CDK6","CMGC",495
"CDK7","CMGC",496
"CDK8","CMGC",497
"CDK9","CMGC",498
"CDKL1","CMGC",499
"CDKL2","CMGC",500
"CDKL3","CMGC",501
"CDKL4","CMGC",502
"CDKL5","CMGC",503
"CDKN1A","Non-Kinase",504
"CDKN1B","Non-Kinase",505
"CDKN1C","Non-Kinase",506
"CDKN2A","Non-Kinase",507
"CDKN2D","Non-Kinase",508
"CDT1","Non-Kinase",509
"CDX2","Non-Kinase",510
"CEACAM1","Non-Kinase",511
"CEBPA","Non-Kinase",512
"CEBPB","Non-Kinase",513
"CEBPD","Non-Kinase",514
"CEBPE","Non-Kinase",515
"CELF1","Non-Kinase",516
"CENPA","Non-Kinase",517
"CENPC","Non-Kinase",518
"CENPE","Non-Kinase",519
"CENPF","Non-Kinase",520
"CENPJ","Non-Kinase",521
"CENPQ","Non-Kinase",522
"CENPU","Non-Kinase",523
"CEP131","Non-Kinase",524
"CEP164","Non-Kinase",525
"CEP170","Non-Kinase",526
"CEP170B","Non-Kinase",527
"CEP192","Non-Kinase",528
"CEP250","Non-Kinase",529
"CEP55","Non-Kinase",530
"CEP68","Non-Kinase",531
"CEP76","Non-Kinase",532
"CEP83","Non-Kinase",533
"CERS4","Non-Kinase",534
"CERS5","Non-Kinase",535
"CERS6","Non-Kinase",536
"CETN1","Non-Kinase",537
"CETN2","Non-Kinase",538
"CFL1","Non-Kinase",539
"CFL2","Non-Kinase",540
"CFLAR","Non-Kinase",541
"CFTR","Non-Kinase",542
"CGAS","Non-Kinase",543
"CGB3","Non-Kinase",544
"CGGBP1","Non-Kinase",545
"CGN","Non-Kinase",546
"CHAT","Non-Kinase",547
"CHCHD2","Non-Kinase",548
"CHCHD3","Non-Kinase",549
"CHD4","Non-Kinase",550
"CHD7","Non-Kinase",551
"CHEK1","CAMK",552
"CHEK2","CAMK",553
"CHKA","Non-Kinase",554
"CHKB","Non-Kinase",555
"CHMP4C","Non-Kinase",556
"CHMP7","Non-Kinase",557
"CHN2","Non-Kinase",558
"CHRM2","Non-Kinase",559
"CHRNA7","Non-Kinase",560
"CHTF18","Non-Kinase",561
"CHTOP","Non-Kinase",562
"CHUK","OTHER",563
"CIB1","Non-Kinase",564
"CIC","Non-Kinase",565
"CIITA","Non-Kinase",566
"CIP2A","Non-Kinase",567
"CIT","AGC",568
"CITED2","Non-Kinase",569
"CKAP2","Non-Kinase",570
"CKMT1A","Non-Kinase",571
"CLASP2","Non-Kinase",572
"CLCN3","Non-Kinase",573
"CLDN1","Non-Kinase",574
"CLDN11","Non-Kinase",575
"CLDN3","Non-Kinase",576
"CLDN4","Non-Kinase",577
"CLDN7","Non-Kinase",578
"CLIC5","Non-Kinase",579
"CLIP1","Non-Kinase",580
"CLK1","CMGC",581
"CLK2","CMGC",582
"CLK3","CMGC",583
"CLK4","CMGC",584
"CLOCK","Non-Kinase",585
"CLSPN","Non-Kinase",586
"CLTB","Non-Kinase",587
"CLTC","Non-Kinase",588
"CNKSR1","Non-Kinase",589
"CNN1","Non-Kinase",590
"CNN2","Non-Kinase",591
"CNN3","Non-Kinase",592
"CNOT2","Non-Kinase",593
"CNP","Non-Kinase",594
"CNTROB","Non-Kinase",595
"COBLL1","Non-Kinase",596
"COIL","Non-Kinase",597
"COL17A1","Non-Kinase",598
"COL4A3","Non-Kinase",599
"COL4A3BP","ATYPICAL",600
"COP1","Non-Kinase",601
"COPS5","Non-Kinase",602
"COPS6","Non-Kinase",603
"CORO1A","Non-Kinase",604
"CORO1B","Non-Kinase",605
"CORO1C","Non-Kinase",606
"CORO7","Non-Kinase",607
"CREB1","Non-Kinase",608
"CREB3","Non-Kinase",609
"CREBBP","Non-Kinase",610
"CREM","Non-Kinase",611
"CRHR1","Non-Kinase",612
"CRIP2","Non-Kinase",613
"CRK","Non-Kinase",614
"CRKL","Non-Kinase",615
"CRMP1","Non-Kinase",616
"CROCC","Non-Kinase",617
"CRTC1","Non-Kinase",618
"CRTC2","Non-Kinase",619
"CRTC3","Non-Kinase",620
"CRY1","Non-Kinase",621
"CRY2","Non-Kinase",622
"CRYAB","Non-Kinase",623
"CRYBG1","Non-Kinase",624
"CSF1R","TK",625
"CSF2RB","Non-Kinase",626
"CSF3R","Non-Kinase",627
"CSK","TK",628
"CSNK1A1","CK1",629
"CSNK1A1L","CK1",630
"CSNK1D","CK1",631
"CSNK1E","CK1",632
"CSNK1G1","CK1",633
"CSNK1G2","CK1",634
"CSNK1G3","CK1",635
"CSNK2A1","CMGC",636
"CSNK2A2","CMGC",637
"CSNK2A3","CMGC",638
"CSNK2B","Non-Kinase",639
"CSPG4","Non-Kinase",640
"CTBP1","Non-Kinase",641
"CTBP2","Non-Kinase",642
"CTDP1","Non-Kinase",643
"CTDSPL2","Non-Kinase",644
"CTH","Non-Kinase",645
"CTLA4","Non-Kinase",646
"CTNNA1","Non-Kinase",647
"CTNNB1","Non-Kinase",648
"CTNND1","Non-Kinase",649
"CTNND2","Non-Kinase",650
"CTPS1","Non-Kinase",651
"CTPS2","Non-Kinase",652
"CTR9","Non-Kinase",653
"CTTN","Non-Kinase",654
"CTTNBP2NL","Non-Kinase",655
"CUEDC2","Non-Kinase",656
"CUL5","Non-Kinase",657
"CUX1","Non-Kinase",658
"CWC25","Non-Kinase",659
"CXCR4","Non-Kinase",660
"CYBA","Non-Kinase",661
"CYCS","Non-Kinase",662
"CYLD","Non-Kinase",663
"CYP17A1","Non-Kinase",664
"CYP19A1","Non-Kinase",665
"CYP2B6","Non-Kinase",666
"CYP3A4","Non-Kinase",667
"CYSLTR1","Non-Kinase",668
"CYTH1","Non-Kinase",669
"CYTH2","Non-Kinase",670
"DAAM1","Non-Kinase",671
"DAB1","Non-Kinase",672
"DAB2","Non-Kinase",673
"DAB2IP","Non-Kinase",674
"DACT1","Non-Kinase",675
"DAG1","Non-Kinase",676
"DAGLA","Non-Kinase",677
"DAP","Non-Kinase",678
"DAP3","Non-Kinase",679
"DAPK1","CAMK",680
"DAPK2","CAMK",681
"DAPK3","CAMK",682
"DAPP1","Non-Kinase",683
"DAXX","Non-Kinase",684
"DAZAP1","Non-Kinase",685
"DAZL","Non-Kinase",686
"DBF4","Non-Kinase",687
"DBI","Non-Kinase",688
"DBN1","Non-Kinase",689
"DBNL","Non-Kinase",690
"DCBLD1","Non-Kinase",691
"DCBLD2","Non-Kinase",692
"DCC","Non-Kinase",693
"DCK","Non-Kinase",694
"DCLK1","CAMK",695
"DCLK2","CAMK",696
"DCLK3","CAMK",697
"DCLRE1C","Non-Kinase",698
"DCP1A","Non-Kinase",699
"DCTN1","Non-Kinase",700
"DCTN6","Non-Kinase",701
"DCX","Non-Kinase",702
"DDA1","Non-Kinase",703
"DDAH2","Non-Kinase",704
"DDB1","Non-Kinase",705
"DDHD1","Non-Kinase",706
"DDIT3","Non-Kinase",707
"DDR1","TK",708
"DDR2","TK",709
"DDX1","Non-Kinase",710
"DDX19A","Non-Kinase",711
"DDX19B","Non-Kinase",712
"DDX24","Non-Kinase",713
"DDX25","Non-Kinase",714
"DDX3X","Non-Kinase",715
"DDX3Y","Non-Kinase",716
"DDX41","Non-Kinase",717
"DDX5","Non-Kinase",718
"DDX52","Non-Kinase",719
"DEF6","Non-Kinase",720
"DEK","Non-Kinase",721
"DENND3","Non-Kinase",722
"DENND4C","Non-Kinase",723
"DENR","Non-Kinase",724
"DEPDC1","Non-Kinase",725
"DEPDC5","Non-Kinase",726
"DEPTOR","Non-Kinase",727
"DES","Non-Kinase",728
"DGCR8","Non-Kinase",729
"DGKA","Non-Kinase",730
"DGKD","Non-Kinase",731
"DGKG","Non-Kinase",732
"DGKZ","Non-Kinase",733
"DHFR","Non-Kinase",734
"DHPS","Non-Kinase",735
"DHX38","Non-Kinase",736
"DIABLO","Non-Kinase",737
"DIAPH1","Non-Kinase",738
"DIAPH2","Non-Kinase",739
"DIAPH3","Non-Kinase",740
"DISC1","Non-Kinase",741
"DIXDC1","Non-Kinase",742
"DLC1","Non-Kinase",743
"DLD","Non-Kinase",744
"DLG1","Non-Kinase",745
"DLG2","Non-Kinase",746
"DLG3","Non-Kinase",747
"DLG4","Non-Kinase",748
"DLG5","Non-Kinase",749
"DLGAP1","Non-Kinase",750
"DLGAP5","Non-Kinase",751
"DLX3","Non-Kinase",752
"DLX5","Non-Kinase",753
"DMAP1","Non-Kinase",754
"DMPK","AGC",755
"DMTN","Non-Kinase",756
"DNAJB1","Non-Kinase",757
"DNAJB2","Non-Kinase",758
"DNAJC30","Non-Kinase",759
"DNAJC5","Non-Kinase",760
"DNAJC6","Non-Kinase",761
"DNM1","Non-Kinase",762
"DNM1L","Non-Kinase",763
"DNM2","Non-Kinase",764
"DNMT1","Non-Kinase",765
"DNMT3A","Non-Kinase",766
"DNPEP","Non-Kinase",767
"DOC2B","Non-Kinase",768
"DOCK1","Non-Kinase",769
"DOCK2","Non-Kinase",770
"DOCK6","Non-Kinase",771
"DOCK7","Non-Kinase",772
"DOCK8","Non-Kinase",773
"DOK1","Non-Kinase",774
"DOK2","Non-Kinase",775
"DPF2","Non-Kinase",776
"DPF3","Non-Kinase",777
"DPYSL2","Non-Kinase",778
"DPYSL3","Non-Kinase",779
"DPYSL5","Non-Kinase",780
"DRD2","Non-Kinase",781
"DRD3","Non-Kinase",782
"DRG1","Non-Kinase",783
"DRG2","Non-Kinase",784
"DROSHA","Non-Kinase",785
"DSN1","Non-Kinase",786
"DSP","Non-Kinase",787
"DSTN","Non-Kinase",788
"DSTYK","OTHER",789
"DTD1","Non-Kinase",790
"DTL","Non-Kinase",791
"DTNB","Non-Kinase",792
"DTNBP1","Non-Kinase",793
"DTYMK","Non-Kinase",794
"DUOX1","Non-Kinase",795
"DUSP1","Non-Kinase",796
"DUSP10","Non-Kinase",797
"DUSP16","Non-Kinase",798
"DUSP3","Non-Kinase",799
"DUSP4","Non-Kinase",800
"DUSP5","Non-Kinase",801
"DUSP6","Non-Kinase",802
"DUT","Non-Kinase",803
"DVL1","Non-Kinase",804
"DVL2","Non-Kinase",805
"DVL3","Non-Kinase",806
"DYNC1I2","Non-Kinase",807
"DYNC1LI1","Non-Kinase",808
"DYNLL1","Non-Kinase",809
"DYNLRB1","Non-Kinase",810
"DYRK1A","CMGC",811
"DYRK1B","CMGC",812
"DYRK2","CMGC",813
"DYRK3","CMGC",814
"DYRK4","CMGC",815
"E2F1","Non-Kinase",816
"E2F3","Non-Kinase",817
"E2F4","Non-Kinase",818
"E2F6","Non-Kinase",819
"E4F1","Non-Kinase",820
"EBNA1BP2","Non-Kinase",821
"ECD","Non-Kinase",822
"ECE1","Non-Kinase",823
"ECT2","Non-Kinase",824
"EDC3","Non-Kinase",825
"EDC4","Non-Kinase",826
"EDF1","Non-Kinase",827
"EDNRA","Non-Kinase",828
"EEA1","Non-Kinase",829
"EEF1A1","Non-Kinase",830
"EEF1A2","Non-Kinase",831
"EEF1B2","Non-Kinase",832
"EEF1D","Non-Kinase",833
"EEF2","Non-Kinase",834
"EEF2K","ATYPICAL",835
"EFHD2","Non-Kinase",836
"EFNB2","Non-Kinase",837
"EGFR","TK",838
"EGLN1","Non-Kinase",839
"EGLN2","Non-Kinase",840
"EGR1","Non-Kinase",841
"EHMT2","Non-Kinase",842
"EIF2A","Non-Kinase",843
"EIF2AK1","OTHER",844
"EIF2AK2","OTHER",845
"EIF2AK3","OTHER",846
"EIF2AK4","OTHER",847
"EIF2B5","Non-Kinase",848
"EIF2S1","Non-Kinase",849
"EIF2S2","Non-Kinase",850
"EIF2S3","Non-Kinase",851
"EIF3A","Non-Kinase",852
"EIF3F","Non-Kinase",853
"EIF3J","Non-Kinase",854
"EIF4A3","Non-Kinase",855
"EIF4B","Non-Kinase",856
