"From","To","from","to"
"CAMK2A","CAMK2A",349,349
"MAPK14","HNF4A",1643,1274
"PRKAA2","HNF4A",2290,1274
"NEK6","SGK1",1863,2688
"PDPK1","SGK1",2089,2688
"MAPK7","SGK1",1648,2688
"PRKCA","SNAP23",2299,2801
"CDK19","EIF3F",486,853
"CDK2","CDC7",487,465
"ABL1","WASL",12,3286
"MAPK13","EEF2K",1642,835
"PRKACA","EEF2K",2292,835
"RPS6KB1","EEF2K",2594,835
"PRKAA2","EEF2K",2290,835
"PRKAA1","EEF2K",2289,835
"RPS6KA1","EEF2K",2588,835
"MAPKAPK2","EEF2K",1654,835
"MAPKAPK3","EEF2K",1655,835
"MAPKAPK5","EEF2K",1656,835
"MAPK8","EEF2K",1649,835
"MAPK9","EEF2K",1652,835
"MAPK12","EEF2K",1641,835
"MAPK11","EEF2K",1640,835
"MAPK14","EEF2K",1643,835
"STK25","STK25",2918,2918
"PRKAA2","ACACB",2290,17
"AKT1","SH2B2",88,2695
"FYN","ARHGAP33",1050,160
"CAMK2A","ITGB1BP1",349,1387
"GRK6","SLC9A3R1",1157,2770
"AKT1","TERT",88,3024
"SRC","TERT",2863,3024
"AKT1","CHEK1",88,552
"ATR","CHEK1",221,552
"NEK2","NDC80",1859,1835
"EGFR","SCAMP3",838,2640
"IKBKB","IKBKB",1333,1333
"CHUK","IKBKB",563,1333
"MAP3K7","IKBKB",1627,1333
"PRKCQ","IKBKB",2306,1333
"PRKCZ","IKBKB",2307,1333
"MAP3K14","IKBKB",1619,1333
"EGFR","PLD2",838,2187
"CSNK2A2","CASQ2",637,378
"CSNK2A1","CASQ2",636,378
"EGFR","HGS",838,1246
"PRKACA","AURKA",2292,227
"DMPK","PPP1R12A",755,2246
"ILK","PPP1R12A",1347,2246
"ROCK1","PPP1R12A",2558,2246
"ROCK2","PPP1R12A",2559,2246
"CSNK1E","PER2",632,2101
"CSNK1D","PER2",631,2101
"PRKCQ","CHUK",2306,563
"MAP3K14","CHUK",1619,563
"AKT1","CHUK",88,563
"AKT2","CHUK",90,563
"FYN","FYB1",1050,1049
"EGFR","SCAMP1",838,2639
"PAK1","ARPC1B",2021,177
"CHEK1","MDM4",552,1698
"CHEK2","MDM4",553,1698
"AKT1","MDM4",88,1698
"ATM","MDM4",209,1698
"PRKCD","PLSCR1",2301,2202
"ABL1","PLSCR1",12,2202
"GSK3B","AXIN1",1164,233
"MAP2K6","MAPK13",1612,1642
"CSNK2A1","SHOX",636,2713
"TTN","TCAP",3175,3009
"CDK1","FANCG",475,955
"CDK1","TP73",475,3102
"CDK2","TP73",487,3102
"ABL1","TP73",12,3102
"SRC","INPPL1",2863,1357
"AKT1","FANCA",88,952
"CSNK2A1","HDAC3",636,1232
"CDK1","BIRC5",475,280
"EGFR","RGS16",838,2517
"LYN","RGS16",1583,2517
"SRC","RGS16",2863,2517
"CSK","RGS16",628,2517
"MAPKAPK2","ARPC5",1654,178
"PDPK1","PDPK1",2089,2089
"SRC","PDPK1",2863,2089
"PRKACA","CLDN3",2292,576
"MAPK14","ZNHIT1",1643,3375
"MAP3K7","MAP3K7",1627,1627
"CAMK1","EIF4G3",346,862
"PRKCQ","WIPF1",2306,3295
"MAPK8","BCL2L11",1649,263
"MAPK9","BCL2L11",1652,263
"MAPK10","BCL2L11",1639,263
"SGK1","FOXO3",2688,1033
"AKT1","FOXO3",88,1033
"PRKCA","KCNQ2",2299,1451
"NTRK2","FRS3",1967,1039
"ZAP70","LAT",3339,1524
"PRKACA","RGS14",2292,2516
"ABL1","PSTPIP1",12,2349
"CDK5","DCX",492,702
"CDK2","PRC1",487,2279
"PRKACA","RGS10",2292,2514
"CDK1","BUB1",475,315
"CSNK2A2","KIF1C",637,1471
"CSNK2A1","KIF1C",636,1471
"SYK","TYROBP",2963,3196
"MAPK9","SH3BP5",1652,2701
"MAPK12","SH3BP5",1641,2701
"PRKACA","PLIN1",2292,2193
"CAMK2G","ADCY3",352,47
"CDK5","PIP5K1C",492,2161
"PRKCA","DLX3",2299,752
"LYN","DOK2",1583,775
"HCK","DOK2",1225,775
"SRC","DOK2",2863,775
"JAK2","JAK2",1403,1403
"ABL1","JAK2",12,1403
"GSK3B","CTNND1",1164,649
"SRC","CTNND1",2863,649
"EGFR","CTNND1",838,649
"PRKACA","PFKFB2",2292,2106
"AKT1","PFKFB2",88,2106
"PRKAA2","PFKFB2",2290,2106
"PRKAA1","PFKFB2",2289,2106
"PRKCA","PFKFB2",2299,2106
"PRKCA","EDF1",2299,827
"ATM","NBN",209,1812
"CSNK2A1","NOL3",636,1913
"GSK3B","MITF",1164,1729
"EPHB4","SDC3",904,2655
"CSNK2A1","VAMP4",636,3256
"DYRK1A","SF3B1",811,2684
"CDK5","DAB1",492,672
"SRC","DAB1",2863,672
"GSK3B","LRP6",1164,1568
"MAPK3","RPS6KA5",1645,2592
"MAPK1","RPS6KA5",1638,2592
"MAPK14","RPS6KA5",1643,2592
"FYN","TOM1L1",1050,3090
"MAP2K1","RPS6KA4",1607,2591
"MAPK14","RPS6KA4",1643,2591
"RPS6KA4","RPS6KA4",2591,2591
"PRKCA","ADAP1",2299,43
"PRKCE","ADAP1",2302,43
"EGFR","STAM2",838,2893
"PAK3","PAK3",2023,2023
"CHUK","PIAS1",563,2135
"ATM","RAD17",209,2416
"ATR","RAD17",221,2416
"GSK3B","CABYR",1164,331
"PTK2","TRIO",2358,3134
"GRK5","SNCG",1156,2808
"PRKG1","PDE5A",2312,2074
"STK10","STK10",2911,2911
"PRKACA","SNAPIN",2292,2804
"SRC","MPZL1",2863,1750
"MAP3K6","MAP3K6",1626,1626
"PRKACA","ABCA1",2292,6
"BMPR1B","STAMBP",290,2894
"PRKCA","NFATC1",2299,1877
"MAPKAPK2","BAG2",1654,240
"CDK1","LATS1",475,1526
"CDK1","PTTG1",475,2383
"PRKACA","PPP1R17",2292,2255
"PRKG1","PPP1R17",2312,2255
"PRKCA","HAND1",2299,1218
"PRKACA","HAND1",2292,1218
"PAK4","PAK4",2024,2024
"ATM","CHEK2",209,553
"ATR","CHEK2",221,553
"CHEK2","CHEK2",553,553
"PLK1","CHEK2",2196,553
"PLK3","CHEK2",2198,553
"ATM","ABL1",209,12
"CDK1","ABL1",475,12
"ABL1","ABL1",12,12
"SRC","ABL1",2863,12
"CAMK2A","EGFR",349,838
"CAMK2G","EGFR",352,838
"PRKCD","EGFR",2301,838
"EGFR","EGFR",838,838
"JAK2","EGFR",1403,838
"ERBB2","EGFR",913,838
"SRC","EGFR",2863,838
"CSNK2A1","C1R",636,322
"PRKACA","FOS",2292,1019
"RPS6KA1","FOS",2588,1019
"MAPK1","FOS",1638,1019
"MAPK8","MYC",1649,1778
"CSNK2A2","MYC",637,1778
"GSK3B","MYC",1164,1778
"CSNK2A1","MYC",636,1778
"PDIK1L","TNF",2083,3074
"SRC","HLA-B",2863,1262
"CDK1","LMNA",475,1555
"PRKCA","LMNA",2299,1555
"PRKCA","MBP",2299,1681
"PRKACA","MBP",2292,1681
"MAPK1","MBP",1638,1681
"LYN","SLC4A1",1583,2759
"SYK","SLC4A1",2963,2759
"MAPK1","ESR1",1638,926
"CDK7","ESR1",496,926
"RPS6KA1","ESR1",2588,926
"AKT1","ESR1",88,926
"AKT2","ESR1",90,926
"RPS6KA3","ESR1",2590,926
"PAK1","ESR1",2021,926
"MAPK14","ESR1",1643,926
"LCK","ESR1",1530,926
"SRC","ESR1",2863,926
"PRKCG","VTN",2303,3279
"PRKCB","VTN",2300,3279
"PRKCA","VTN",2299,3279
"PRKACA","VTN",2292,3279
"CSNK2A1","VTN",636,3279
"PRKACA","HMGCR",2292,1266
"ABL2","CAT",13,382
"PRKACA","RAF1",2292,2424
"AKT1","RAF1",88,2424
"MAPK1","RAF1",1638,2424
"PAK3","RAF1",2023,2424
"SRC","RAF1",2863,2424
"PAK1","RAF1",2021,2424
"PRKCA","RAF1",2299,2424
"RAF1","RAF1",2424,2424
"PRKAA1","RAF1",2289,2424
"JAK2","RAF1",1403,2424
"PRKCI","ANXA1",2305,118
"TRPM7","ANXA1",3150,118
"SRC","ANXA1",2863,118
"MAPK1","NR3C1",1638,1944
"MAPK8","NR3C1",1649,1944
"PRKDC","NR3C1",2311,1944
"CDK1","TK1",475,3062
"CSNK2A2","MYCN",637,1781
"CSNK2A1","MYCN",636,1781
"PRKCA","HLA-A",2299,1261
"SRC","HLA-A",2863,1261
"ERBB2","ERBB2",913,913
"EGFR","ERBB2",838,913
"NTRK1","NTRK1",1966,1966
"CHEK1","TP53",552,3097
"MAPK1","TP53",1638,3097
"PRKDC","TP53",2311,3097
"ATM","TP53",209,3097
"ATR","TP53",221,3097
"PLK3","TP53",2198,3097
"CDK2","TP53",487,3097
"CDK9","TP53",498,3097
"CDK5","TP53",492,3097
"GSK3B","TP53",1164,3097
"PRKCA","TP53",2299,3097
"MAPKAPK5","TP53",1656,3097
"EIF2AK2","TP53",845,3097
"CSNK2A1","TP53",636,3097
"MAPK14","TP53",1643,3097
"HIPK2","TP53",1253,3097
"CSNK1A1","TP53",629,3097
"CSNK1D","TP53",631,3097
"VRK1","TP53",3276,3097
"MAPK8","TP53",1649,3097
"MAPKAPK2","HSPB1",1654,1302
"MAPKAPK3","HSPB1",1655,1302
"GSK3B","APP",1164,136
"CDK5","APP",492,136
"PDPK1","ITGB3",2089,1389
"AKT1","ITGB3",88,1389
"PDK1","ITGB3",2084,1389
"SRC","ITGB3",2863,1389
"PRKCA","HMGN1",2299,1268
"PRKACA","HMGN1",2292,1268
"RPS6KA3","HMGN1",2590,1268
"RPS6KA5","HMGN1",2592,1268
"RPS6KA4","HMGN1",2591,1268
"EIF2AK2","EIF2S1",845,849
"PRKCD","EIF2S1",2301,849
"EIF2AK1","EIF2S1",844,849
"EIF2AK3","EIF2S1",846,849
"PRKCA","HMGN2",2299,1269
"PRKACA","HMGN2",2292,1269
"RPS6KA3","HMGN2",2590,1269
"ADRBK1","RPLP2",58,2577
"CSNK2A1","JUN",636,1408
"PRKDC","JUN",2311,1408
"MAPK8","JUN",1649,1408
"ABL1","JUN",12,1408
"PRKCB","PRKCB",2300,2300
"CDK1","KRT18",475,1507
"PRKCA","KRT18",2299,1507
"RPS6KA3","KRT18",2590,1507
"PRKCE","KRT18",2302,1507
"CAMK2A","KRT18",349,1507
"MAPK3","KRT8",1645,1510
"MAPK1","KRT8",1638,1510
"MAPK8","KRT8",1649,1510
"MAPK14","KRT8",1643,1510
"CSNK2A1","CD5",636,439
"PRKCG","CD5",2303,439
"PRKCB","CD5",2300,439
"PRKCA","CD5",2299,439
"LCK","CD5",1530,439
"FYN","CD5",1050,439
"PRKCA","INSR",2299,1359
"INSR","INSR",1359,1359
"PRKCA","LCK",2299,1530
"PRKACA","LCK",2292,1530
"MAPK3","LCK",1645,1530
"MAPK1","LCK",1638,1530
"SYK","LCK",2963,1530
"LCK","LCK",1530,1530
"CSK","LCK",628,1530
"PDGFRB","FYN",2078,1050
"FYN","FYN",1050,1050
"CSK","FYN",628,1050
"CSK","GSN",628,1165
"CDK2","RB1",487,2459
"CDK1","RB1",475,2459
"CDK4","RB1",491,2459
"CSNK2A1","PGR",636,2116
"CSNK2A1","CDK1",636,475
"PKMYT1","CDK1",2173,475
"CDK7","CDK1",496,475
"LYN","CDK1",1583,475
"WEE1","CDK1",3293,475
"CDK1","CDK1",475,475
"PRKCG","EIF4E",2303,857
"PRKCB","EIF4E",2300,857
"PRKCA","EIF4E",2299,857
"MKNK1","EIF4E",1731,857
"MKNK2","EIF4E",1732,857
"CSNK2A1","GPI",636,1130
"PLK1","NPM1",2196,1931
"CDK2","NPM1",487,1931
"CDK1","NPM1",475,1931
"MAPKAPK2","TH",1654,3046
"CAMK2G","TH",352,3046
"RPS6KA5","TH",2592,3046
"PRKACA","TH",2292,3046
"ABL1","GPX1",12,1138
"ABL2","GPX1",13,1138
"FES","FES",983,983
"CSF1R","CSF1R",625,625
"PRKCA","ANXA2",2299,119
"PRKCB","ANXA2",2300,119
"TTBK1","TUBB",3168,3180
"PRKCD","ADRB2",2301,57
"GRK5","ADRB2",1156,57
"INSR","ADRB2",1359,57
"LCK","CD3E",1530,434
"CSNK2A1","HSP90AA1",636,1296
"PRKDC","HSP90AA1",2311,1296
"CSNK1A1","HNRNPC",629,1278
"CSNK2A2","HNRNPC",637,1278
"CSNK2A1","HNRNPC",636,1278
"YES1","YES1",3327,3327
"LYN","LYN",1583,1583
"CSK","LYN",628,1583
"MATK","LYN",1674,1583
"RET","RET",2502,2502
"PRKCA","GJB1",2299,1100
"PRKACA","GJB1",2292,1100
"MAPK3","SP1",1645,2835
"MAPK1","SP1",1638,2835
"CSNK2A1","SP1",636,2835
"SRC","IGF1R",2863,1329
"PRKCA","RHO",2299,2524
"GRK1","RHO",1154,2524
"PRKACB","NGFR",2293,1890
"PDK1","PDHA1",2084,2079
"PDK3","PDHA1",2086,2079
"PDK2","PDHA1",2085,2079
"PDK4","PDHA1",2087,2079
"MET","MET",1715,1715
"HCK","HCK",1225,1225
"CSK","HCK",628,1225
"PRKCA","VIM",2299,3272
"PRKACA","VIM",2292,3272
"PAK2","VIM",2022,3272
"CDK1","VIM",475,3272
"ROCK1","VIM",2558,3272
"CAMK2D","VIM",351,3272
"PRKCD","ADRA2A",2301,55
"ADRBK1","ADRA2A",58,55
"SRC","VIL1",2863,3271
"CSNK2A2","CLTB",637,587
"CSNK2A1","CLTB",636,587
"AKT1","HMOX1",88,1271
"PDGFRB","PDGFRB",2078,2078
"CSNK2A1","HOXB7",636,1290
"FGR","FGR",994,994
"CSK","FGR",628,994
"MAPKAPK2","ALOX5",1654,96
"EGFR","CALM1",838,342
"INSR","CALM1",1359,342
"CSNK2A1","MYB",636,1773
"MAPK1","MYB",1638,1773
"CDK2","MYBL2",487,1776
"AKT1","AR",88,144
"MAPK1","AR",1638,144
"EPHB2","RRAS",902,2601
"PRKCA","BCL2",2299,261
"MAPK8","BCL2",1649,261
"MAPK1","BCL2",1638,261
"PRKCA","SPP1",2299,2853
"CSNK2A2","SPP1",637,2853
"CSNK2A1","SPP1",636,2853
"PRKG1","SPP1",2312,2853
"FYN","PTPRF",1050,2377
"GSK3B","MAPT",1164,1660
"PRKACA","MAPT",2292,1660
"MAPK1","MAPT",1638,1660
"MAPK12","MAPT",1641,1660
"CDK5","MAPT",492,1660
"PKN1","MAPT",2174,1660
"PHKG1","MAPT",2128,1660
"PRKCD","MAPT",2301,1660
"MARK1","MAPT",1663,1660
"CAMK2A","MAPT",349,1660
"GSK3A","MAPT",1163,1660
"RPS6KA3","MAPT",2590,1660
"CDK1","MAPT",475,1660
"ABL1","MAPT",12,1660
"RPS6KB1","MAPT",2594,1660
"CDK2","PRKAR1A",487,2296
"PRKCA","KIT",2299,1485
"KIT","KIT",1485,1485
"SRC","KIT",2863,1485
"ITK","CD28",1394,428
"CDC42BPA","MYL2",457,1789
"MARK1","MAP2",1663,1606
"PRKACA","MAP2",2292,1606
"PRKACA","SLC2A2",2292,2756
"PRKCB","EPB41",2300,889
"EGFR","EPB41",838,889
"FES","BCR",983,269
"HCK","BCR",1225,269
"CDK1","TOP2A",475,3092
"CSNK2A1","TOP2A",636,3092
"PRKCG","TOP2A",2303,3092
"PRKCB","TOP2A",2300,3092
"PRKCA","TOP2A",2299,3092
"CSNK2A1","VDR",636,3267
"MAPKAPK2","SRF",1654,2867
"RPS6KA1","SRF",2588,2867
"CAMK2A","SRF",349,2867
"PRKDC","SRF",2311,2867
"CSNK2A1","SRF",636,2867
"CSNK2A2","MS4A1",637,1755
"CSNK2A1","MS4A1",636,1755
"LYN","CD79A",1583,442
"FYN","CD79A",1050,442
"MAPK1","NEFH",1638,1853
"CSNK2A1","F5",636,946
"CDK2","PTHLH",487,2357
"FYN","FCGR2A",1050,975
"LYN","FCGR2A",1583,975
"SYK","FCGR2A",2963,975
"BLK","FCGR2A",281,975
"PTK2","ACTN1",2358,33
"CSNK2A1","CDH1",636,472
"GSK3B","CDH1",1164,472
"PRKCA","SRC",2299,2863
"PRKACA","SRC",2292,2863
"CDK5","SRC",492,2863
"SRC","SRC",2863,2863
"FGR","SRC",994,2863
"CSK","SRC",628,2863
"PRKACA","GP1BB",2292,1128
"CSNK2A2","MYF5",637,1782
"CSNK2A1","MYF5",636,1782
"PRKG1","CFTR",2312,542
"PRKCA","CFTR",2299,542
"PRKACA","CFTR",2292,542
"PRKACA","ITGA4",2292,1385
"EEF2K","EEF2",835,834
"MAP3K10","CEACAM1",1615,511
"SRC","CEACAM1",2863,511
"PLK1","TPT1",2196,3111
"PRKACA","LCP1",2292,1531
"CSNK2A1","GYS1",636,1180
"GSK3B","GYS1",1164,1180
"PRKACA","GYS1",2292,1180
"PRKCA","GFAP",2299,1086
"PRKACA","GFAP",2292,1086
"ROCK1","GFAP",2558,1086
"CAMK2A","GFAP",349,1086
"CDK1","GFAP",475,1086
"CSNK2A1","HCLS1",636,1226
"LYN","HCLS1",1583,1226
"FGR","HCLS1",994,1226
"SYK","HCLS1",2963,1226
"PRKACA","SI",2292,2714
"PLK1","CCNB1",2196,407
"JAK1","IL2RB",1402,1344
"LCK","IL2RB",1530,1344
"CAMK2B","ETS1",350,929
"CAMK2A","ETS1",349,929
"MAPK3","ETS1",1645,929
"MAPK7","ETS1",1648,929
"FYN","JUP",1050,1411
"FER","JUP",980,1411
"SRC","JUP",2863,1411
"BRAF","BRAF",297,297
"SGK1","BRAF",2688,297
"AKT1","BRAF",88,297
"PRKACA","BRAF",2292,297
"INSR","FABP4",1359,947
"CDK2","MYOD1",487,1801
"PRKCA","MYOD1",2299,1801
"CDK5","EZR",492,943
"PRKCA","EZR",2299,943
"ROCK1","EZR",2558,943
"EGFR","EZR",838,943
"LCK","EZR",1530,943
"MAPK14","ATF2",1643,196
"MAPK9","ATF2",1652,196
"PRKCA","KCNE1",2299,1431
"MAPK1","CD19",1638,424
"LYN","CD19",1583,424
"BTK","CD19",312,424
"ABL1","CD19",12,424
"LCK","VAV1",1530,3259
"YES1","CD46",3327,438
"MAPK3","TCF3",1645,3011
"MAPK1","TCF3",1638,3011
"PRKACA","DSP",2292,787
"PRKDC","RPA2",2311,2566
"CDK1","RPA2",475,2566
"GSK3B","MUC1",1164,1768
"PRKCD","MUC1",2301,1768
"EGFR","MUC1",838,1768
"ZAP70","MUC1",3339,1768
"AKT1","GATA1",88,1074
"ATM","H2AX",209,1194
"ATM","CREB1",209,608
"GSK3B","CREB1",1164,608
"SGK1","CREB1",2688,608
"RPS6KA5","CREB1",2592,608
"RPS6KA4","CREB1",2591,608
"AKT1","CREB1",88,608
"MAPKAPK2","CREB1",1654,608
"RPS6KA3","CREB1",2590,608
"PRKG1","CREB1",2312,608
"RPS6KA2","CREB1",2589,608
"RPS6KA1","CREB1",2588,608
"TSSK4","CREB1",3166,608
"PDGFRA","PDGFRA",2077,2077
"JAK2","CTLA4",1403,646
"LCK","CTLA4",1530,646
"FYN","CTLA4",1050,646
"TXK","CTLA4",3189,646
"FER","FER",980,980
"CAMK2A","ATP2A2",349,213
"BTK","PLCG2",312,2185
"LCK","PLCG2",1530,2185
"FYN","PLCG2",1050,2185
"LYN","PLCG2",1583,2185
"HCK","PLCG2",1225,2185
"PRKACA","STMN1",2292,2934
"CSNK2A1","STMN1",636,2934
"CDK1","STMN1",475,2934
"MAPK3","STMN1",1645,2934
"CSNK2A2","HMGA1",637,1263
"CSNK2A1","HMGA1",636,1263
"CDK1","HMGA1",475,1263
"TYK2","IFNAR1",3192,1327
"PRKCZ","PRKCA",2307,2299
"SYK","PRKCA",2963,2299
"MAPK8","JUNB",1649,1409
"MAPK14","JUNB",1643,1409
"MAPK3","GJA1",1645,1097
"MAPK1","GJA1",1638,1097
"MAPK7","GJA1",1648,1097
"CSNK1D","GJA1",631,1097
"PRKCG","GJA1",2303,1097
"PRKCB","GJA1",2300,1097
"PRKCA","GJA1",2299,1097
"SRC","GJA1",2863,1097
"CDK2","UBTF",487,3211
"MAPK3","UBTF",1645,3211
"MAPK1","UBTF",1638,3211
"MAPK3","TAL1",1645,2986
"CDK5","SYN1",492,2965
"CAMK2G","SYN1",352,2965
"PAK3","SYN1",2023,2965
"PAK1","SYN1",2021,2965
"PRKACA","SYN1",2292,2965
"PAK2","SYN1",2022,2965
"CAMK1","SYN1",346,2965
"AURKB","DES",229,728
"ROCK1","DES",2558,728
"CAMK2A","CEBPB",349,513
"MAPK1","CEBPB",1638,513
"RPS6KA1","CEBPB",2588,513
"CSNK2A1","GAP43",636,1069
"PRKCB","GAP43",2300,1069
"CDK1","PTPN2",475,2368
"CDK2","PTPN2",487,2368
"CDK5","PTPN2",492,2368
"PRKACA","TPH1",2292,3104
"PRKCA","DDX5",2299,718
"CSNK2A2","LGALS3",637,1538
"CSNK1A1","LGALS3",629,1538
"CSNK2A1","LGALS3",636,1538
"CSNK2A1","IGFBP3",636,1332
"FLT1","FLT1",1012,1012
"CLK1","PTPN1",581,2364
"CLK2","PTPN1",582,2364
"CSNK2A2","PTPN1",637,2364
"CSNK2A1","PTPN1",636,2364
"CDK1","PTPN1",475,2364
"AKT1","PTPN1",88,2364
"INSR","PTPN1",1359,2364
"EGFR","PTPN1",838,2364
"CSNK2A1","EGR1",636,841
"PRKCA","VCL",2299,3262
"SRC","VCL",2863,3262
"PRKCD","PTPRA",2301,2374
"SRC","PTPRA",2863,2374
"PRKCA","GABRG2",2299,1064
"MAPK3","PDE6G",1645,2075
"ADRBK1","PDE6G",58,2075
"CDK1","RCC1",475,2486
"CSNK2A1","ATF1",636,195
"RPS6KA5","ATF1",2592,195
"RPS6KA4","ATF1",2591,195
"PRKACA","ATF1",2292,195
"CAMK2G","ATF1",352,195
"CAMK1","ATF1",346,195
"CSNK2A1","LIG1",636,1541
"CSNK2A1","XRCC1",636,3316
"CSNK2A2","XRCC1",637,3316
"PRKCA","PAM",2299,2028
"UHMK1","PAM",3221,2028
"PRKCD","GNAZ",2301,1121
"PRKD1","PLCG1",2308,2184
"HCK","PLCG1",1225,2184
"EGFR","PLCG1",838,2184
"LYN","PLCG1",1583,2184
"SYK","PLCG1",2963,2184
"RET","PLCG1",2502,2184
"SRC","PLCG1",2863,2184
"JAK2","EPOR",1403,908
"MAPK1","ELK1",1638,868
"MAPK9","ELK1",1652,868
"MAPK14","ELK1",1643,868
"TAOK2","ELK1",2991,868
"PRKCA","TNNI3",2299,3084
"MAPK1","TNFRSF1A",1638,3078
"EIF2AK2","EIF2AK2",845,845
"JAK1","EIF2AK2",1402,845
"MAPK1","SLC9A1",1638,2768
"MAPK14","SLC9A1",1643,2768
"MAPK1","RXRA",1638,2621
"MAPK7","RXRA",1648,2621
"PRKACA","NFKB1",2292,1884
"GSK3B","NFKB1",1164,1884
"CHUK","NFKB1",563,1884
"IKBKB","NFKB1",1333,1884
"PRKACA","ATP2B1",2292,214
"PRKCA","ATP2B1",2299,214
"CSNK2A1","EIF2S2",636,850
"SRC","CD33",2863,431
"CDK1","RAB4A",475,2407
"CDK1","LMNB1",475,1556
"PRKCB","LMNB1",2300,1556
"FYN","MAG",1050,1594
"EGFR","RASA1",838,2449
"LCK","RASA1",1530,2449
"CAMK2A","PDC",349,2060
"PRKACA","PDC",2292,2060
"CAMK2G","FLNA",352,1008
"AKT1","S1PR1",88,2626
"ADRBK1","FPR1",58,1036
"CSNK2A2","SAT1",637,2632
"CSNK2A1","SAT1",636,2632
"PRKACA","RYR1",2292,2623
"CAMK2G","RYR1",352,2623
"PRKG1","RYR1",2312,2623
"CDK5","ERBB3",492,914
"CDK1","UBA1",475,3198
"FGFR4","FGFR4",993,993
"FGFR3","FGFR3",992,992
"PRKCA","CBL",2299,386
"INSR","CBL",1359,386
"EGFR","CBL",838,386
"FYN","CBL",1050,386
"HCK","CBL",1225,386
"RPS6KA5","NR4A1",2592,1946
"AKT1","NR4A1",88,1946
"RPS6KA3","NR4A1",2590,1946
"RPS6KA1","NR4A1",2588,1946
"MAPK1","NR4A1",1638,1946
"PRKDC","XPA",2311,3312
"ATM","XPA",209,3312
"ATR","XPA",221,3312
"CDK1","RPS6KB1",475,2594
"MTOR","RPS6KB1",1765,2594
"PDPK1","RPS6KB1",2089,2594
"PDK1","RPS6KB1",2084,2594
"JAK3","JAK1",1404,1402
"CDK2","NFYA",487,1888
"LIMK1","CFL1",1546,539
"LIMK2","CFL1",1547,539
"TESK1","CFL1",3025,539
"NRK","CFL1",1960,539
"TESK2","CFL1",3026,539
"RPS6KB1","EIF4B",2594,856
"SRC","ATP2B4",2863,216
"PRKCA","ITPKA",2299,1396
"PRKACA","ITPKA",2292,1396
"AKT1","GATA2",88,1075
"CSNK2A1","GABRR1",636,1065
"PRKCA","GABRR1",2299,1065
"MAPK1","GABRR1",1638,1065
"PRKACA","GABRR1",2292,1065
"PRKG1","GABRR1",2312,1065
"PRKACA","CCND1",2292,408
"GSK3B","CCND1",1164,408
"CSNK2A2","EEF1B2",637,832
"CSNK2A1","EEF1B2",636,832
"LCK","ACP1",1530,30
"FYN","ACP1",1050,30
"CDK2","CCNE1",487,411
"GSK3B","CCNE1",1164,411
"CDK7","CDK2",496,487
"CDK20","CDK2",488,487
"WEE1","CDK2",3293,487
"CDK2","CDK2",487,487
"CSNK1E","APC",632,129
"GSK3B","APC",1164,129
"PRKACA","APC",2292,129
"PRKCG","ADRBK1",2303,58
"PRKCA","ADRBK1",2299,58
"PRKCD","ADRBK1",2301,58
"MAPK3","ADRBK1",1645,58
"PRKACA","ADRBK1",2292,58
"CSNK2A1","PSMA3",636,2339
"CSNK2A1","NFKBIA",636,1886
"IKBKB","NFKBIA",1333,1886
"EIF2AK2","NFKBIA",845,1886
"RPS6KA1","NFKBIA",2588,1886
"IKBKE","NFKBIA",1334,1886
"TBK1","NFKBIA",3003,1886
"LCK","NFKBIA",1530,1886
"SRC","NFKBIA",2863,1886
"PRKCB","ITGB7",2300,1393
"PRKCD","ITGB7",2301,1393
"PRKCQ","MSN",2306,1756
"ROCK1","MSN",2558,1756
"HIPK2","PAX6",1253,2045
"PRKACA","PTBP1",2292,2350
"PRKACA","PLN",2292,2200
"BCR","YWHAQ",269,3335
"CSNK1A1","YWHAQ",629,3335
"MAPK3","MAPK3",1645,1645
"MAP2K2","MAPK3",1608,1645
"CSNK2A1","ARNT",636,176
"CSNK2A1","APEX1",636,130
"PRKACA","CAD",2292,340
"MAPK1","CAD",1638,340
"MARK1","MAP4",1663,1630
"CDK1","MAP4",475,1630
"INSR","PIK3R1",1359,2144
"LCK","PIK3R1",1530,2144
"PRKCG","CHAT",2303,547
"PRKCB","CHAT",2300,547
"PRKCA","CHAT",2299,547
"PRKCE","CHAT",2302,547
"PRKCZ","CHAT",2307,547
"PRKCD","CHAT",2301,547
"CAMK2G","CHAT",352,547
"CAMK2A","CHAT",349,547
"RAF1","MAPK1",2424,1638
"MAPK1","MAPK1",1638,1638
"RET","MAPK1",2502,1638
"MAP2K1","MAPK1",1607,1638
"MAPK1","DUSP1",1638,796
"MAPK3","DUSP1",1645,796
"CDK4","RBL1",491,2465
"EPHA2","EPHA2",894,894
"EPHA3","EPHA3",895,895
"EPHA8","EPHA8",900,900
"EPHB2","EPHB2",902,902
"PRKCA","PTPN6",2299,2372
"ABL1","PTPN6",12,2372
"INSR","PTPN6",1359,2372
"LCK","PTPN6",1530,2372
"LYN","PTPN6",1583,2372
"PRKCA","SHC1",2299,2708
"SRC","SHC1",2863,2708
"ZAP70","SHC1",3339,2708
"SYK","SHC1",2963,2708
"INSR","SHC1",1359,2708
"LCK","SHC1",1530,2708
"FYN","SHC1",1050,2708
"FLT3","SHC1",1013,2708
"PAK1","CASP1",2021,371
"AKT1","NOS3",88,1918
"CAMK1","NOS1",346,1916
"PRKCA","NOS1",2299,1916
