,GeneName,Group
976,FCRL3,Non-kinase
977,FEN1,Non-kinase
978,FER,TK
979,FERMT2,Non-kinase
980,FERMT3,Non-kinase
981,FES,TK
982,FEZ1,Non-kinase
983,FFAR4,Non-kinase
984,FGA,Non-kinase
985,FGF1,Non-kinase
986,FGF14,Non-kinase
987,FGF2,Non-kinase
988,FGFR1,TK
989,FGFR2,TK
990,FGFR3,TK
991,FGFR4,TK
992,FGR,TK
993,FH,Non-kinase
994,FHIP2B,Non-kinase
995,FHIT,Non-kinase
996,FHL1,Non-kinase
997,FHL2,Non-kinase
998,FHOD1,Non-kinase
999,FIP1L1,Non-kinase
1000,FIS1,Non-kinase
1001,FKBP4,Non-kinase
1002,FKBP5,Non-kinase
1003,FLCN,Non-kinase
1004,FLI1,Non-kinase
1005,FLII,Non-kinase
1006,FLNA,Non-kinase
1007,FLNC,Non-kinase
1008,FLOT1,Non-kinase
1009,FLOT2,Non-kinase
1010,FLT1,TK
1011,FLT3,TK
1012,FLT4,TK
1013,FMNL2,Non-kinase
1014,FMR1,Non-kinase
1015,FN1,Non-kinase
1016,FNIP1,Non-kinase
1017,FOS,Non-kinase
1018,FOSB,Non-kinase
1019,FOSL1,Non-kinase
1020,FOSL2,Non-kinase
1021,FOXA1,Non-kinase
1022,FOXA2,Non-kinase
1023,FOXC1,Non-kinase
1024,FOXC2,Non-kinase
1025,FOXG1,Non-kinase
1026,FOXK2,Non-kinase
1027,FOXL2,Non-kinase
1028,FOXM1,Non-kinase
1029,FOXN2,Non-kinase
1030,FOXO1,Non-kinase
1031,FOXO3,Non-kinase
1032,FOXO4,Non-kinase
1033,FOXP3,Non-kinase
1034,FPR1,Non-kinase
1035,FRAT1,Non-kinase
1036,FRK,TK
1037,FRS3,Non-kinase
1038,FSCN1,Non-kinase
1039,FTO,Non-kinase
1040,FUBP1,Non-kinase
1041,FUNDC1,Non-kinase
1042,FURIN,Non-kinase
1043,FUS,Non-kinase
1044,FXN,Non-kinase
1045,FXR1,Non-kinase
1046,FXYD1,Non-kinase
1047,FYB1,Non-kinase
1048,FYN,TK
1049,FYTTD1,Non-kinase
1050,FZD3,Non-kinase
1051,FZD6,Non-kinase
1052,FZR1,Non-kinase
1053,G3BP1,Non-kinase
1054,G6PD,Non-kinase
1055,GAB1,Non-kinase
1056,GAB2,Non-kinase
1057,GABARAPL2,Non-kinase
1058,GABBR1,Non-kinase
1059,GABBR2,Non-kinase
1060,GABRB1,Non-kinase
1061,GABRB2,Non-kinase
1062,GABRG2,Non-kinase
1063,GABRR1,Non-kinase
1064,GAD1,Non-kinase
1065,GADD45GIP1,Non-kinase
1066,GAK,Other
1067,GAP43,Non-kinase
1068,GAPDH,Non-kinase
1069,GAPVD1,Non-kinase
1070,GAS2L1,Non-kinase
1071,GAST,Non-kinase
1072,GATA1,Non-kinase
1073,GATA2,Non-kinase
1074,GATA3,Non-kinase
1075,GATA4,Non-kinase
1076,GATA6,Non-kinase
1077,GATAD2A,Non-kinase
1078,GBF1,Non-kinase
1079,GCH1,Non-kinase
1080,GCM1,Non-kinase
1081,GCSAM,Non-kinase
1082,GDI2,Non-kinase
1083,GEM,Non-kinase
1084,GFAP,Non-kinase
1085,GFI1,Non-kinase
1086,GFPT1,Non-kinase
1087,GFPT2,Non-kinase
1088,GGA1,Non-kinase
1089,GHR,Non-kinase
1090,GHRL,Non-kinase
1091,GIGYF2,Non-kinase
1092,GINS2,Non-kinase
1093,GIT1,Non-kinase
1094,GIT2,Non-kinase
1095,GJA1,Non-kinase
1096,GJA5,Non-kinase
1097,GJA8,Non-kinase
1098,GJB1,Non-kinase
1099,GKAP1,Non-kinase
1100,GLE1,Non-kinase
1101,GLI1,Non-kinase
1102,GLI2,Non-kinase
1103,GLI3,Non-kinase
1104,GLIPR2,Non-kinase
1105,GLO1,Non-kinase
1106,GLRA1,Non-kinase
1107,GLRB,Non-kinase
1108,GLS,Non-kinase
1109,GMFB,Non-kinase
1110,GMFG,Non-kinase
1111,GMNN,Non-kinase
1112,GMPR,Non-kinase
1113,GMPS,Non-kinase
1114,GNA13,Non-kinase
1115,GNA15,Non-kinase
1116,GNAI1,Non-kinase
1117,GNAI2,Non-kinase
1118,GNAT1,Non-kinase
1119,GNAZ,Non-kinase
1120,GNMT,Non-kinase
1121,GOLGA2,Non-kinase
1122,GOLGA4,Non-kinase
1123,GOLPH3,Non-kinase
1124,GORASP1,Non-kinase
1125,GORASP2,Non-kinase
1126,GP1BB,Non-kinase
1127,GPHN,Non-kinase
1128,GPI,Non-kinase
1129,GPKOW,Non-kinase
1130,GPM6A,Non-kinase
1131,GPR15,Non-kinase
1132,GPRC5A,Non-kinase
1133,GPS1,Non-kinase
1134,GPSM2,Non-kinase
1135,GPSM3,Non-kinase
1136,GPX1,Non-kinase
1137,GRAP2,Non-kinase
1138,GRB10,Non-kinase
1139,GRB14,Non-kinase
1140,GRB2,Non-kinase
1141,GRB7,Non-kinase
1142,GRHL1,Non-kinase
1143,GRHL3,Non-kinase
1144,GRIA1,Non-kinase
1145,GRIA2,Non-kinase
1146,GRIA4,Non-kinase
1147,GRIK2,Non-kinase
1148,GRIN1,Non-kinase
1149,GRIN2A,Non-kinase
1150,GRIN2B,Non-kinase
1151,GRIN2C,Non-kinase
1152,GRK1,AGC
1153,GRK2,AGC
1154,GRK3,AGC
1155,GRK4,AGC
1156,GRK5,AGC
1157,GRK6,AGC
1158,GRK7,AGC
1159,GRM1,Non-kinase
1160,GRM5,Non-kinase
1161,GRN,Non-kinase
1162,GSK3A,CMGC
1163,GSK3B,CMGC
1164,GSN,Non-kinase
1165,GSR,Non-kinase
1166,GSTA4,Non-kinase
1167,GSTP1,Non-kinase
1168,GTF2A1,Non-kinase
1169,GTF2A1L,Non-kinase
1170,GTF2F1,Non-kinase
1171,GTF2I,Non-kinase
1172,GTF3C1,Non-kinase
1173,GTSE1,Non-kinase
1174,GUCA1B,Non-kinase
1175,GUCY1B1,Non-kinase
1176,GUCY2C,RGC
1177,GUCY2D,RGC
1178,GUCY2F,RGC
1179,GYS1,Non-kinase
1180,GYS2,Non-kinase
1181,H1-1,Non-kinase
1182,H1-2,Non-kinase
1183,H1-4,Non-kinase
1184,H1-5,Non-kinase
1185,H2AC1,Non-kinase
1186,H2AC11,Non-kinase
1187,H2AC12,Non-kinase
1188,H2AC14,Non-kinase
1189,H2AC18,Non-kinase
1190,H2AC21,Non-kinase
1191,H2AC25,Non-kinase
1192,H2AC6,Non-kinase
1193,H2AX,Non-kinase
1194,H2BC11,Non-kinase
1195,H2BC12,Non-kinase
1196,H2BC12L,Non-kinase
1197,H2BC13,Non-kinase
1198,H2BC14,Non-kinase
1199,H2BC15,Non-kinase
1200,H2BC17,Non-kinase
1201,H2BC18,Non-kinase
1202,H2BC19P,Non-kinase
1203,H2BC20P,Non-kinase
1204,H2BC21,Non-kinase
1205,H2BC26,Non-kinase
1206,H2BC3,Non-kinase
1207,H2BC4,Non-kinase
1208,H2BC5,Non-kinase
1209,H2BC9,Non-kinase
1210,H3-3A,Non-kinase
1211,H3-4,Non-kinase
1212,H3C1,Non-kinase
1213,H3C15,Non-kinase
1214,H4C1,Non-kinase
1215,HABP4,Non-kinase
1216,HACE1,Non-kinase
1217,HAND1,Non-kinase
1218,HAS2,Non-kinase
1219,HASPIN,Other
1220,HAT1,Non-kinase
1221,HAUS8,Non-kinase
1222,HAVCR2,Non-kinase
1223,HAX1,Non-kinase
1224,HBP1,Non-kinase
1225,HCK,TK
1226,HCLS1,Non-kinase
1227,HCN2,Non-kinase
1228,HCN4,Non-kinase
1229,HCRTR1,Non-kinase
1230,HDAC1,Non-kinase
1231,HDAC2,Non-kinase
1232,HDAC3,Non-kinase
1233,HDAC4,Non-kinase
1234,HDAC5,Non-kinase
1235,HDAC6,Non-kinase
1236,HDAC7,Non-kinase
1237,HDAC8,Non-kinase
1238,HDAC9,Non-kinase
1239,HDLBP,Non-kinase
1240,HECTD3,Non-kinase
1241,HELLS,Non-kinase
1242,HES1,Non-kinase
1243,HES5,Non-kinase
1244,HES6,Non-kinase
1245,HEXIM1,Non-kinase
1246,HGS,Non-kinase
1247,HHEX,Non-kinase
1248,HIC1,Non-kinase
1249,HIF1A,Non-kinase
1250,HIF3A,Non-kinase
1251,HIP1,Non-kinase
1252,HIPK1,CMGC
1253,HIPK2,CMGC
1254,HIPK3,CMGC
1255,HIPK4,CMGC
1256,HIRA,Non-kinase
1257,HIVEP1,Non-kinase
1258,HJURP,Non-kinase
1259,HK1,Non-kinase
1260,HK2,Non-kinase
1261,HLA-A,Non-kinase
1262,HLA-B,Non-kinase
1263,HMGA1,Non-kinase
1264,HMGA2,Non-kinase
1265,HMGB1,Non-kinase
1266,HMGCR,Non-kinase
1267,HMGCS1,Non-kinase
1268,HMGN1,Non-kinase
1269,HMGN2,Non-kinase
1270,HMGN5,Non-kinase
1271,HMOX1,Non-kinase
1272,HMOX2,Non-kinase
1273,HNF1A,Non-kinase
1274,HNF4A,Non-kinase
1275,HNRNPA0,Non-kinase
1276,HNRNPA1,Non-kinase
1277,HNRNPA2B1,Non-kinase
1278,HNRNPC,Non-kinase
1279,HNRNPD,Non-kinase
1280,HNRNPF,Non-kinase
1281,HNRNPH1,Non-kinase
1282,HNRNPH2,Non-kinase
1283,HNRNPK,Non-kinase
1284,HNRNPL,Non-kinase
1285,HNRNPM,Non-kinase
1286,HNRNPU,Non-kinase
1287,HNRNPUL1,Non-kinase
1288,HOMER3,Non-kinase
1289,HOXA11,Non-kinase
1290,HOXB7,Non-kinase
1291,HRAS,Non-kinase
1292,HRH1,Non-kinase
1293,HSD17B4,Non-kinase
1294,HSF1,Non-kinase
1295,HSF4,Non-kinase
1296,HSP90AA1,Non-kinase
1297,HSP90AB1,Non-kinase
1298,HSP90B1,Non-kinase
1299,HSPA1A,Non-kinase
1300,HSPA1L,Non-kinase
1301,HSPA9,Non-kinase
1302,HSPB1,Non-kinase
1303,HSPB6,Non-kinase
1304,HSPB8,Non-kinase
1305,HSPH1,Non-kinase
1306,HTR1A,Non-kinase
1307,HTR6,Non-kinase
1308,HTRA2,Non-kinase
1309,HTT,Non-kinase
1310,HUNK,CAMK
1311,HUWE1,Non-kinase
1312,HVCN1,Non-kinase
1313,IBTK,Non-kinase
1314,ICAM3,Non-kinase
1315,ICOSLG,Non-kinase
1316,ID1,Non-kinase
1317,ID2,Non-kinase
1318,ID3,Non-kinase
1319,IDH1,Non-kinase
1320,IDH2,Non-kinase
1321,IDI1,Non-kinase
1322,IER3,Non-kinase
1323,IFI16,Non-kinase
1324,IFIH1,Non-kinase
1325,IFITM3,Non-kinase
1326,IFNAR1,Non-kinase
1327,IFNGR1,Non-kinase
1328,IGF1R,TK
1329,IGF2R,Non-kinase
1330,IGFBP1,Non-kinase
1331,IGFBP3,Non-kinase
1332,IKBKB,Other
1333,IKBKE,Other
1334,IKBKG,Non-kinase
1335,IKZF1,Non-kinase
1336,IKZF3,Non-kinase
1337,IL10RA,Non-kinase
1338,IL15RA,Non-kinase
1339,IL16,Non-kinase
1340,IL17RA,Non-kinase
1341,IL17RB,Non-kinase
1342,IL2RA,Non-kinase
1343,IL2RB,Non-kinase
1344,IL6ST,Non-kinase
1345,ILF3,Non-kinase
1346,ILK,TKL
1347,ILRUN,Non-kinase
1348,IMMT,Non-kinase
1349,IMPDH2,Non-kinase
1350,INCA1,Non-kinase
1351,INCENP,Non-kinase
1352,INF2,Non-kinase
1353,ING1,Non-kinase
1354,ING5,Non-kinase
1355,INO80E,Non-kinase
1356,INPPL1,Non-kinase
1357,INSIG1,Non-kinase
1358,INSR,TK
1359,INSRR,TK
1360,INVS,Non-kinase
1361,IP6K2,Non-kinase
1362,IQGAP1,Non-kinase
1363,IQGAP2,Non-kinase
1364,IRAG1,Non-kinase
1365,IRAK1,TKL
1366,IRAK2,TKL
1367,IRAK3,TKL
1368,IRAK4,TKL
1369,IREB2,Non-kinase
1370,IRF1,Non-kinase
1371,IRF3,Non-kinase
1372,IRF4,Non-kinase
1373,IRF5,Non-kinase
1374,IRF7,Non-kinase
1375,IRS1,Non-kinase
1376,IRS2,Non-kinase
1377,IRS4,Non-kinase
1378,IRX2,Non-kinase
1379,ISCU,Non-kinase
1380,ISL1,Non-kinase
1381,ISX,Non-kinase
1382,ITCH,Non-kinase
1383,ITGA2,Non-kinase
1384,ITGA4,Non-kinase
1385,ITGB1,Non-kinase
1386,ITGB1BP1,Non-kinase
1387,ITGB2,Non-kinase
1388,ITGB3,Non-kinase
1389,ITGB3BP,Non-kinase
1390,ITGB4,Non-kinase
1391,ITGB5,Non-kinase
1392,ITGB7,Non-kinase
1393,ITK,TK
1394,ITM2A,Non-kinase
1395,ITPKA,Non-kinase
1396,ITPKB,Non-kinase
1397,ITPR1,Non-kinase
1398,ITPR2,Non-kinase
1399,IWS1,Non-kinase
1400,JADE1,Non-kinase
1401,JAK1,TK
1402,JAK2,TK
1403,JAK3,TK
1404,JDP2,Non-kinase
1405,JPH2,Non-kinase
1406,JPT2,Non-kinase
1407,JUN,Non-kinase
1408,JUNB,Non-kinase
1409,JUND,Non-kinase
1410,JUP,Non-kinase
1411,KALRN,CAMK
1412,KARS1,Non-kinase
1413,KAT2A,Non-kinase
1414,KAT2B,Non-kinase
1415,KAT5,Non-kinase
1416,KAT6A,Non-kinase
1417,KAT7,Non-kinase
1418,KAT8,Non-kinase
1419,KATNA1,Non-kinase
1420,KCNA1,Non-kinase
1421,KCNA3,Non-kinase
1422,KCNA4,Non-kinase
1423,KCNA5,Non-kinase
1424,KCNAB2,Non-kinase
1425,KCNB1,Non-kinase
1426,KCNC4,Non-kinase
1427,KCND1,Non-kinase
1428,KCND2,Non-kinase
1429,KCND3,Non-kinase
1430,KCNE1,Non-kinase
1431,KCNE3,Non-kinase
1432,KCNH2,Non-kinase
1433,KCNIP3,Non-kinase
1434,KCNJ1,Non-kinase
1435,KCNJ11,Non-kinase
1436,KCNJ12,Non-kinase
1437,KCNJ13,Non-kinase
1438,KCNJ2,Non-kinase
1439,KCNJ3,Non-kinase
1440,KCNJ4,Non-kinase
1441,KCNJ5,Non-kinase
1442,KCNK18,Non-kinase
1443,KCNK3,Non-kinase
1444,KCNK9,Non-kinase
1445,KCNMA1,Non-kinase
1446,KCNN1,Non-kinase
1447,KCNN2,Non-kinase
1448,KCNN4,Non-kinase
1449,KCNQ1,Non-kinase
1450,KCNQ2,Non-kinase
1451,KCNQ5,Non-kinase
1452,KCTD12,Non-kinase
1453,KDELR1,Non-kinase
1454,KDM1A,Non-kinase
1455,KDM2A,Non-kinase
1456,KDM3A,Non-kinase
1457,KDM4B,Non-kinase
1458,KDM4C,Non-kinase
1459,KDM5A,Non-kinase
1460,KDM5B,Non-kinase
1461,KDR,TK
1462,KEAP1,Non-kinase
1463,KHDC3L,Non-kinase
1464,KHDRBS1,Non-kinase
1465,KHSRP,Non-kinase
1466,KIDINS220,Non-kinase
1467,KIF11,Non-kinase
1468,KIF13B,Non-kinase
1469,KIF14,Non-kinase
1470,KIF1C,Non-kinase
1471,KIF20A,Non-kinase
1472,KIF20B,Non-kinase
1473,KIF22,Non-kinase
1474,KIF23,Non-kinase
1475,KIF2A,Non-kinase
1476,KIF2B,Non-kinase
1477,KIF2C,Non-kinase
1478,KIF3A,Non-kinase
1479,KIF4A,Non-kinase
1480,KIF5C,Non-kinase
1481,KIFC1,Non-kinase
1482,KIR3DL1,Non-kinase
1483,KIRREL1,Non-kinase
1484,KIT,TK
1485,KIZ,Non-kinase
1486,KLC1,Non-kinase
1487,KLC2,Non-kinase
1488,KLC4,Non-kinase
1489,KLF1,Non-kinase
1490,KLF10,Non-kinase
1491,KLF16,Non-kinase
1492,KLF3,Non-kinase
1493,KLF4,Non-kinase
1494,KLF5,Non-kinase
1495,KLF8,Non-kinase
1496,KLHL3,Non-kinase
1497,KMT2A,Non-kinase
1498,KMT2D,Non-kinase
1499,KMT2E,Non-kinase
1500,KMT5A,Non-kinase
1501,KNL1,Non-kinase
1502,KNSTRN,Non-kinase
1503,KPNA1,Non-kinase
1504,KPNA2,Non-kinase
1505,KRAS,Non-kinase
1506,KRT18,Non-kinase
1507,KRT19,Non-kinase
1508,KRT20,Non-kinase
1509,KRT8,Non-kinase
1510,KSR1,TKL
1511,KSR2,TKL
1512,L1CAM,Non-kinase
1513,L3MBTL2,Non-kinase
1514,LAMC1,Non-kinase
1515,LAMP2,Non-kinase
1516,LAMTOR4,Non-kinase
1517,LAMTOR5,Non-kinase
1518,LARP1,Non-kinase
1519,LARP6,Non-kinase
1520,LARP7,Non-kinase
1521,LARS1,Non-kinase
1522,LASP1,Non-kinase
1523,LAT,Non-kinase
1524,LAT2,Non-kinase
1525,LATS1,AGC
1526,LATS2,AGC
1527,LAX1,Non-kinase
1528,LBR,Non-kinase
1529,LCK,TK
1530,LCP1,Non-kinase
1531,LCP2,Non-kinase
1532,LDHA,Non-kinase
1533,LDHB,Non-kinase
1534,LEF1,Non-kinase
1535,LEPR,Non-kinase
1536,LETM1,Non-kinase
1537,LGALS3,Non-kinase
1538,LGMN,Non-kinase
1539,LIFR,Non-kinase
1540,LIG1,Non-kinase
1541,LIG3,Non-kinase
1542,LIG4,Non-kinase
1543,LIMA1,Non-kinase
1544,LIMD1,Non-kinase
1545,LIMK1,TKL
1546,LIMK2,TKL
1547,LIN28A,Non-kinase
1548,LIN28B,Non-kinase
1549,LIN52,Non-kinase
1550,LIN9,Non-kinase
1551,LIPE,Non-kinase
1552,LLGL1,Non-kinase
1553,LLGL2,Non-kinase
1554,LMNA,Non-kinase
1555,LMNB1,Non-kinase
1556,LMNB2,Non-kinase
1557,LMO7,Non-kinase
1558,LMTK2,TK
1559,LMTK3,TK
1560,LONP1,Non-kinase
1561,LPCAT2,Non-kinase
1562,LPIN1,Non-kinase
1563,LPP,Non-kinase
1564,LPXN,Non-kinase
1565,LRCH3,Non-kinase
1566,LRP1,Non-kinase
1567,LRP6,Non-kinase
1568,LRRC45,Non-kinase
1569,LRRC4C,Non-kinase
1570,LRRC7,Non-kinase
1571,LRRC8A,Non-kinase
1572,LRRK1,TKL
1573,LRRK2,TKL
1574,LRWD1,Non-kinase
1575,LSP1,Non-kinase
1576,LTB4R,Non-kinase
1577,LTB4R2,Non-kinase
1578,LTC4S,Non-kinase
1579,LTK,TK
1580,LY96,Non-kinase
1581,LYL1,Non-kinase
1582,LYN,TK
1583,LZTS2,Non-kinase
1584,MACC1,Non-kinase
1585,MACF1,Non-kinase
1586,MAD1L1,Non-kinase
1587,MAD2L1,Non-kinase
1588,MAD2L1BP,Non-kinase
1589,MAF1,Non-kinase
1590,MAFA,Non-kinase
1591,MAFB,Non-kinase
1592,MAFG,Non-kinase
1593,MAG,Non-kinase
1594,MAGEA11,Non-kinase
1595,MAGI1,Non-kinase
1596,MAK,CMGC
1597,MALT1,Non-kinase
1598,MAOA,Non-kinase
1599,MAP1A,Non-kinase
1600,MAP1B,Non-kinase
1601,MAP1LC3A,Non-kinase
1602,MAP1LC3B,Non-kinase
1603,MAP1LC3C,Non-kinase
1604,MAP1S,Non-kinase
1605,MAP2,Non-kinase
1606,MAP2K1,STE
1607,MAP2K2,STE
1608,MAP2K3,STE
1609,MAP2K4,STE
1610,MAP2K5,STE
1611,MAP2K6,STE
1612,MAP2K7,STE
1613,MAP3K1,STE
1614,MAP3K10,TKL
1615,MAP3K11,TKL
1616,MAP3K12,TKL
1617,MAP3K13,TKL
1618,MAP3K14,STE
1619,MAP3K15,STE
1620,MAP3K19,STE
1621,MAP3K2,STE
1622,MAP3K20,TKL
1623,MAP3K21,TKL
1624,MAP3K3,STE
1625,MAP3K4,STE
1626,MAP3K5,STE
1627,MAP3K6,STE
1628,MAP3K7,TKL
1629,MAP3K8,STE
1630,MAP3K9,TKL
1631,MAP4,Non-kinase
1632,MAP4K1,STE
1633,MAP4K2,STE
1634,MAP4K3,STE
1635,MAP4K4,STE
1636,MAP4K5,STE
1637,MAP7,Non-kinase
1638,MAP9,Non-kinase
1639,MAPK1,CMGC
1640,MAPK10,CMGC
1641,MAPK11,CMGC
1642,MAPK12,CMGC
1643,MAPK13,CMGC
1644,MAPK14,CMGC
1645,MAPK15,CMGC
1646,MAPK3,CMGC
1647,MAPK4,CMGC
1648,MAPK6,CMGC
1649,MAPK7,CMGC
1650,MAPK8,CMGC
1651,MAPK8IP1,Non-kinase
1652,MAPK8IP3,Non-kinase
1653,MAPK9,CMGC
1654,MAPKAP1,Non-kinase
1655,MAPKAPK2,CAMK
1656,MAPKAPK3,CAMK
1657,MAPKAPK5,CAMK
1658,MAPRE1,Non-kinase
1659,MAPRE2,Non-kinase
1660,MAPRE3,Non-kinase
1661,MAPT,Non-kinase
1662,MARCKS,Non-kinase
1663,MARCKSL1,Non-kinase
1664,MARK1,CAMK
1665,MARK2,CAMK
1666,MARK3,CAMK
1667,MARK4,CAMK
1668,MARS1,Non-kinase
1669,MAST1,AGC
1670,MAST2,AGC
1671,MAST3,AGC
1672,MAST4,AGC
1673,MASTL,AGC
1674,MAT1A,Non-kinase
1675,MATK,TK
1676,MATR3,Non-kinase
1677,MAVS,Non-kinase
1678,MAX,Non-kinase
1679,MAZ,Non-kinase
1680,MBD3,Non-kinase
1681,MBD4,Non-kinase
1682,MBP,Non-kinase
1683,MC4R,Non-kinase
1684,MCC,Non-kinase
1685,MCL1,Non-kinase
1686,MCM2,Non-kinase
1687,MCM3,Non-kinase
1688,MCM4,Non-kinase
1689,MCM5,Non-kinase
1690,MCM7,Non-kinase
1691,MCOLN1,Non-kinase
1692,MCPH1,Non-kinase
1693,MCRIP1,Non-kinase
1694,MCRS1,Non-kinase
1695,MCTS1,Non-kinase
1696,MCU,Non-kinase
1697,MDC1,Non-kinase
1698,MDM2,Non-kinase
1699,MDM4,Non-kinase
1700,ME1,Non-kinase
1701,MECOM,Non-kinase
1702,MECP2,Non-kinase
1703,MED1,Non-kinase
1704,MED14,Non-kinase
1705,MED28,Non-kinase
1706,MEF2A,Non-kinase
1707,MEF2B,Non-kinase
1708,MEF2C,Non-kinase
1709,MEF2D,Non-kinase
1710,MEFV,Non-kinase
1711,MEGF10,Non-kinase
1712,MELK,CAMK
1713,MEN1,Non-kinase
1714,MEP1B,Non-kinase
1715,MERTK,TK
1716,MET,TK
1717,METTL1,Non-kinase
1718,METTL3,Non-kinase
1719,MFAP1,Non-kinase
1720,MFF,Non-kinase
1721,MFN1,Non-kinase
1722,MFN2,Non-kinase
1723,MICAL2,Non-kinase
1724,MICALL1,Non-kinase
1725,MIIP,Non-kinase
1726,MINK1,STE
1727,MIP,Non-kinase
1728,MIS18A,Non-kinase
1729,MISP,Non-kinase
1730,MITF,Non-kinase
1731,MKI67,Non-kinase
1732,MKNK1,CAMK
1733,MKNK2,CAMK
1734,MLH1,Non-kinase
1735,MLKL,TKL
1736,MLLT1,Non-kinase
1737,MLLT3,Non-kinase
1738,MLXIPL,Non-kinase
1739,MME,Non-kinase
1740,MMP14,Non-kinase
1741,MMP2,Non-kinase
1742,MNX1,Non-kinase
1743,MOB1A,Non-kinase
1744,MOB1B,Non-kinase
1745,MOK,CMGC
1746,MORC2,Non-kinase
1747,MOS,Other
1748,MPHOSPH10,Non-kinase
1749,MPLKIP,Non-kinase
1750,MPZL1,Non-kinase
1751,MRE11,Non-kinase
1752,MRPS18B,Non-kinase
1753,MRTFA,Non-kinase
1754,MRTO4,Non-kinase
1755,MS4A1,Non-kinase
1756,MSN,Non-kinase
1757,MST1R,TK
1758,MSX2,Non-kinase
1759,MTA1,Non-kinase
1760,MTA2,Non-kinase
1761,MTF1,Non-kinase
1762,MTHFD1L,Non-kinase
1763,MTHFR,Non-kinase
1764,MTMR2,Non-kinase
1765,MTOR,Atypical
1766,MTSS1,Non-kinase
1767,MTURN,Non-kinase
1768,MUC1,Non-kinase
1769,MUS81,Non-kinase
1770,MUSK,TK
1771,MVD,Non-kinase
1772,MXD1,Non-kinase
1773,MYB,Non-kinase
1774,MYBBP1A,Non-kinase
1775,MYBL1,Non-kinase
1776,MYBL2,Non-kinase
1777,MYBPC3,Non-kinase
1778,MYC,Non-kinase
1779,MYCBP2,Non-kinase
1780,MYCL,Non-kinase
1781,MYCN,Non-kinase
1782,MYF5,Non-kinase
1783,MYF6,Non-kinase
1784,MYH10,Non-kinase
1785,MYH2,Non-kinase
1786,MYH9,Non-kinase
1787,MYL12A,Non-kinase
1788,MYL12B,Non-kinase
1789,MYL2,Non-kinase
1790,MYL9,Non-kinase
1791,MYLK,CAMK
1792,MYLK2,CAMK
1793,MYLK3,CAMK
1794,MYLK4,CAMK
1795,MYO3A,STE
1796,MYO3B,STE
1797,MYO5A,Non-kinase
1798,MYO6,Non-kinase
1799,MYO9B,Non-kinase
1800,MYOCD,Non-kinase
1801,MYOD1,Non-kinase
1802,MYOM1,Non-kinase
1803,MYOM2,Non-kinase
1804,MYT1,Non-kinase
1805,MZF1,Non-kinase
1806,NABP2,Non-kinase
1807,NACA,Non-kinase
1808,NADK,Non-kinase
1809,NAGK,Non-kinase
1810,NANOG,Non-kinase
1811,NASP,Non-kinase
1812,NBN,Non-kinase
1813,NBR1,Non-kinase
1814,NCAM1,Non-kinase
1815,NCAPD3,Non-kinase
1816,NCAPG,Non-kinase
1817,NCAPH,Non-kinase
1818,NCAPH2,Non-kinase
1819,NCBP1,Non-kinase
1820,NCBP3,Non-kinase
1821,NCF1,Non-kinase
1822,NCF2,Non-kinase
1823,NCF4,Non-kinase
1824,NCK1,Non-kinase
1825,NCKAP5L,Non-kinase
1826,NCKIPSD,Non-kinase
1827,NCL,Non-kinase
1828,NCOA1,Non-kinase
1829,NCOA2,Non-kinase
1830,NCOA3,Non-kinase
1831,NCOA6,Non-kinase
1832,NCOR1,Non-kinase
1833,NCOR2,Non-kinase
1834,NCSTN,Non-kinase
1835,NDC80,Non-kinase
1836,NDE1,Non-kinase
1837,NDEL1,Non-kinase
1838,NDFIP2,Non-kinase
1839,NDRG1,Non-kinase
1840,NDRG2,Non-kinase
1841,NDUFA12,Non-kinase
1842,NDUFB6,Non-kinase
1843,NDUFS2,Non-kinase
1844,NDUFS4,Non-kinase
1845,NDUFV1,Non-kinase
1846,NDUFV2,Non-kinase
1847,NDUFV3,Non-kinase
1848,NEDD1,Non-kinase
1849,NEDD4,Non-kinase
1850,NEDD4L,Non-kinase
1851,NEDD8,Non-kinase
1852,NEDD9,Non-kinase
1853,NEFH,Non-kinase
1854,NEFL,Non-kinase
1855,NEIL1,Non-kinase
1856,NEK1,Other
1857,NEK10,Other
1858,NEK11,Other
1859,NEK2,Other
1860,NEK3,Other
1861,NEK4,Other
1862,NEK5,Other
1863,NEK6,Other
1864,NEK7,Other
1865,NEK8,Other
1866,NEK9,Other
1867,NELFA,Non-kinase
1868,NELFCD,Non-kinase
1869,NELFE,Non-kinase
1870,NES,Non-kinase
1871,NET1,Non-kinase
1872,NEUROD1,Non-kinase
1873,NEUROG1,Non-kinase
1874,NF1,Non-kinase
1875,NF2,Non-kinase
1876,NFAT5,Non-kinase
1877,NFATC1,Non-kinase
1878,NFATC2,Non-kinase
1879,NFATC3,Non-kinase
1880,NFATC4,Non-kinase
1881,NFE2,Non-kinase
1882,NFE2L1,Non-kinase
1883,NFE2L2,Non-kinase
1884,NFKB1,Non-kinase
1885,NFKB2,Non-kinase
1886,NFKBIA,Non-kinase
1887,NFKBIB,Non-kinase
1888,NFYA,Non-kinase
1889,NGEF,Non-kinase
1890,NGFR,Non-kinase
1891,NHEJ1,Non-kinase
1892,NHS,Non-kinase
1893,NIBAN1,Non-kinase
1894,NIBAN2,Non-kinase
1895,NID1,Non-kinase
1896,NIFK,Non-kinase
1897,NIM1K,CAMK
1898,NINL,Non-kinase
1899,NKD2,Non-kinase
