,GeneName,Group
216,ATP7A,Non-kinase
217,ATP7B,Non-kinase
218,ATR,Atypical
219,ATRIP,Non-kinase
220,ATXN1,Non-kinase
221,ATXN10,Non-kinase
222,ATXN2L,Non-kinase
223,ATXN3,Non-kinase
224,AURKA,Other
225,AURKAIP1,Non-kinase
226,AURKB,Other
227,AURKC,Other
228,AVEN,Non-kinase
229,AVPR2,Non-kinase
230,AXIN1,Non-kinase
231,AXIN2,Non-kinase
232,AXL,TK
233,BABAM1,Non-kinase
234,BACE1,Non-kinase
235,BACH2,Non-kinase
236,BAD,Non-kinase
237,BAG2,Non-kinase
238,BAG3,Non-kinase
239,BAG6,Non-kinase
240,BAIAP2,Non-kinase
241,BAIAP2L1,Non-kinase
242,BAK1,Non-kinase
243,BANF1,Non-kinase
244,BANP,Non-kinase
245,BAP18,Non-kinase
246,BARD1,Non-kinase
247,BAX,Non-kinase
248,BAZ1A,Atypical
249,BAZ1B,Atypical
250,BAZ2A,Non-kinase
251,BBC3,Non-kinase
252,BCAM,Non-kinase
253,BCAR1,Non-kinase
254,BCKDHA,Non-kinase
255,BCKDK,Atypical
256,BCL10,Non-kinase
257,BCL11B,Non-kinase
258,BCL2,Non-kinase
259,BCL2L1,Non-kinase
260,BCL2L11,Non-kinase
261,BCL2L12,Non-kinase
262,BCL3,Non-kinase
263,BCL6,Non-kinase
264,BCL9,Non-kinase
265,BCLAF1,Non-kinase
266,BCR,Atypical
267,BDKRB2,Non-kinase
268,BDNF,Non-kinase
269,BECN1,Non-kinase
270,BEST1,Non-kinase
271,BEX1,Non-kinase
272,BHLHE40,Non-kinase
273,BICD1,Non-kinase
274,BID,Non-kinase
275,BIK,Non-kinase
276,BIN1,Non-kinase
277,BIRC5,Non-kinase
278,BLK,TK
279,BLM,Non-kinase
280,BLNK,Non-kinase
281,BLVRA,Atypical
282,BMAL1,Non-kinase
283,BMF,Non-kinase
284,BMI1,Non-kinase
285,BMP2K,Other
286,BMPR1A,TKL
287,BMPR1B,TKL
288,BMX,TK
289,BNC1,Non-kinase
290,BNIP3,Non-kinase
291,BNIP3L,Non-kinase
292,BOD1L1,Non-kinase
293,BORA,Non-kinase
294,BRAF,TKL
295,BRCA1,Non-kinase
296,BRCA2,Non-kinase
297,BRD2,Atypical
298,BRD3,Atypical
299,BRD4,Atypical
300,BRD9,Non-kinase
301,BRDT,Atypical
302,BRF1,Non-kinase
303,BRMS1,Non-kinase
304,BRSK1,CAMK
305,BRSK2,CAMK
306,BSG,Non-kinase
307,BTG1,Non-kinase
308,BTG2,Non-kinase
309,BTK,TK
310,BTLA,Non-kinase
311,BTRC,Non-kinase
312,BUB1,Other
313,BUB1B,Other
314,BUB3,Non-kinase
315,BUD13,Non-kinase
316,C1QBP,Non-kinase
317,C1R,Non-kinase
318,C1orf112,Non-kinase
319,C1orf198,Non-kinase
320,C2CD5,Non-kinase
321,C2orf49,Non-kinase
322,C5AR1,Non-kinase
323,C9orf40,Non-kinase
324,CA9,Non-kinase
325,CAAP1,Non-kinase
326,CABLES1,Non-kinase
327,CABP1,Non-kinase
328,CABYR,Non-kinase
329,CACNA1B,Non-kinase
330,CACNA1C,Non-kinase
331,CACNA1D,Non-kinase
332,CACNA1H,Non-kinase
333,CACNA1S,Non-kinase
334,CACNB1,Non-kinase
335,CACNB2,Non-kinase
336,CACNG2,Non-kinase
337,CAD,Non-kinase
338,CALD1,Non-kinase
339,CALM1,Non-kinase
340,CALM2,Non-kinase
341,CALM3,Non-kinase
342,CALU,Non-kinase
343,CAMK1,CAMK
344,CAMK1D,CAMK
345,CAMK1G,CAMK
346,CAMK2A,CAMK
347,CAMK2B,CAMK
348,CAMK2D,CAMK
349,CAMK2G,CAMK
350,CAMK4,CAMK
351,CAMKK1,Other
352,CAMKK2,Other
353,CAMKV,CAMK
354,CAMSAP1,Non-kinase
355,CAMSAP2,Non-kinase
356,CANX,Non-kinase
357,CAP1,Non-kinase
358,CAPN1,Non-kinase
359,CAPN2,Non-kinase
360,CAPZA1,Non-kinase
361,CAPZB,Non-kinase
362,CARD11,Non-kinase
363,CARD9,Non-kinase
364,CARHSP1,Non-kinase
365,CARM1,Non-kinase
366,CASK,CAMK
367,CASKIN1,Non-kinase
368,CASP1,Non-kinase
369,CASP2,Non-kinase
370,CASP3,Non-kinase
371,CASP6,Non-kinase
372,CASP7,Non-kinase
373,CASP8,Non-kinase
374,CASP9,Non-kinase
375,CASQ2,Non-kinase
376,CASR,Non-kinase
377,CAST,Non-kinase
378,CASTOR1,Non-kinase
379,CAT,Non-kinase
380,CAV1,Non-kinase
381,CAV2,Non-kinase
382,CAVIN1,Non-kinase
383,CBL,Non-kinase
384,CBLB,Non-kinase
385,CBLC,Non-kinase
386,CBS,Non-kinase
387,CBX1,Non-kinase
388,CBX3,Non-kinase
389,CBX4,Non-kinase
390,CBX5,Non-kinase
391,CBX8,Non-kinase
392,CBY1,Non-kinase
393,CC2D1A,Non-kinase
394,CCAR2,Non-kinase
395,CCDC50,Non-kinase
396,CCDC6,Non-kinase
397,CCDC80,Non-kinase
398,CCDC82,Non-kinase
399,CCDC86,Non-kinase
400,CCDC88A,Non-kinase
401,CCDC88C,Non-kinase
402,CCM2,Non-kinase
403,CCNA2,Non-kinase
404,CCNB1,Non-kinase
405,CCND1,Non-kinase
406,CCND2,Non-kinase
407,CCND3,Non-kinase
408,CCNE1,Non-kinase
409,CCNF,Non-kinase
410,CCNH,Non-kinase
411,CCNL2,Non-kinase
412,CCNO,Non-kinase
413,CCNT1,Non-kinase
414,CCNY,Non-kinase
415,CCP110,Non-kinase
416,CCR2,Non-kinase
417,CCR5,Non-kinase
418,CCR7,Non-kinase
419,CCT2,Non-kinase
420,CD163,Non-kinase
421,CD19,Non-kinase
422,CD226,Non-kinase
423,CD247,Non-kinase
424,CD274,Non-kinase
425,CD28,Non-kinase
426,CD300LB,Non-kinase
427,CD300LF,Non-kinase
428,CD33,Non-kinase
429,CD34,Non-kinase
430,CD36,Non-kinase
431,CD3E,Non-kinase
432,CD3G,Non-kinase
433,CD4,Non-kinase
434,CD44,Non-kinase
435,CD46,Non-kinase
436,CD5,Non-kinase
437,CD6,Non-kinase
438,CD72,Non-kinase
439,CD79A,Non-kinase
440,CD79B,Non-kinase
441,CD93,Non-kinase
442,CDC14A,Non-kinase
443,CDC16,Non-kinase
444,CDC20,Non-kinase
445,CDC23,Non-kinase
446,CDC25A,Non-kinase
447,CDC25B,Non-kinase
448,CDC25C,Non-kinase
449,CDC26,Non-kinase
450,CDC27,Non-kinase
451,CDC34,Non-kinase
452,CDC37,Non-kinase
453,CDC42,Non-kinase
454,CDC42BPA,AGC
455,CDC42BPB,AGC
456,CDC42BPG,AGC
457,CDC42EP1,Non-kinase
458,CDC42EP2,Non-kinase
459,CDC42EP4,Non-kinase
460,CDC5L,Non-kinase
461,CDC6,Non-kinase
462,CDC7,Other
463,CDC73,Non-kinase
464,CDCA2,Non-kinase
465,CDCA5,Non-kinase
466,CDCA7,Non-kinase
467,CDCA8,Non-kinase
468,CDCP1,Non-kinase
469,CDH1,Non-kinase
470,CDH2,Non-kinase
471,CDH5,Non-kinase
472,CDK1,CMGC
473,CDK10,CMGC
474,CDK11A,CMGC
475,CDK11B,CMGC
476,CDK12,CMGC
477,CDK13,CMGC
478,CDK14,CMGC
479,CDK15,CMGC
480,CDK16,CMGC
