"Kinase","Substrate","Group"
"CAMK2A","CAMK2A","CAMK"
"MAPK14","HNF4A","CMGC"
"PRKAA2","HNF4A","CAMK"
"NEK6","SGK1","OTHER"
"PDPK1","SGK1","AGC"
"MAPK7","SGK1","CMGC"
"PRKCA","SNAP23","AGC"
"CDK19","EIF3F","CMGC"
"CDK2","CDC7","CMGC"
"ABL1","WASL","TK"
"MAPK13","EEF2K","CMGC"
"PRKACA","EEF2K","AGC"
"RPS6KB1","EEF2K","AGC"
"PRKAA2","EEF2K","CAMK"
"PRKAA1","EEF2K","CAMK"
"RPS6KA1","EEF2K","AGC"
"MAPKAPK2","EEF2K","CAMK"
"MAPKAPK3","EEF2K","CAMK"
"MAPKAPK5","EEF2K","CAMK"
"MAPK8","EEF2K","CMGC"
"MAPK9","EEF2K","CMGC"
"MAPK12","EEF2K","CMGC"
"MAPK11","EEF2K","CMGC"
"MAPK14","EEF2K","CMGC"
"STK25","STK25","STE"
"PRKAA2","ACACB","CAMK"
"AKT1","SH2B2","AGC"
"FYN","ARHGAP33","TK"
"CAMK2A","ITGB1BP1","CAMK"
"GRK6","SLC9A3R1","AGC"
"AKT1","TERT","AGC"
"SRC","TERT","TK"
"AKT1","CHEK1","AGC"
"ATR","CHEK1","ATYPICAL"
"NEK2","NDC80","OTHER"
"EGFR","SCAMP3","TK"
"IKBKB","IKBKB","OTHER"
"CHUK","IKBKB","OTHER"
"MAP3K7","IKBKB","TKL"
"PRKCQ","IKBKB","AGC"
"PRKCZ","IKBKB","AGC"
"MAP3K14","IKBKB","STE"
"EGFR","PLD2","TK"
"CSNK2A2","CASQ2","CMGC"
"CSNK2A1","CASQ2","CMGC"
"EGFR","HGS","TK"
"PRKACA","AURKA","AGC"
"DMPK","PPP1R12A","AGC"
"ILK","PPP1R12A","TKL"
"ROCK1","PPP1R12A","AGC"
"ROCK2","PPP1R12A","AGC"
"CSNK1E","PER2","CK1"
"CSNK1D","PER2","CK1"
"PRKCQ","CHUK","AGC"
"MAP3K14","CHUK","STE"
"AKT1","CHUK","AGC"
"AKT2","CHUK","AGC"
"FYN","FYB1","TK"
"EGFR","SCAMP1","TK"
"PAK1","ARPC1B","STE"
"CHEK1","MDM4","CAMK"
"CHEK2","MDM4","CAMK"
"AKT1","MDM4","AGC"
"ATM","MDM4","ATYPICAL"
"PRKCD","PLSCR1","AGC"
"ABL1","PLSCR1","TK"
"GSK3B","AXIN1","CMGC"
"MAP2K6","MAPK13","STE"
"CSNK2A1","SHOX","CMGC"
"TTN","TCAP","CAMK"
"CDK1","FANCG","CMGC"
"CDK1","TP73","CMGC"
"CDK2","TP73","CMGC"
"ABL1","TP73","TK"
"SRC","INPPL1","TK"
"AKT1","FANCA","AGC"
"CSNK2A1","HDAC3","CMGC"
"CDK1","BIRC5","CMGC"
"EGFR","RGS16","TK"
"LYN","RGS16","TK"
"SRC","RGS16","TK"
"CSK","RGS16","TK"
"MAPKAPK2","ARPC5","CAMK"
"PDPK1","PDPK1","AGC"
"SRC","PDPK1","TK"
"PRKACA","CLDN3","AGC"
"MAPK14","ZNHIT1","CMGC"
"MAP3K7","MAP3K7","TKL"
"CAMK1","EIF4G3","CAMK"
"PRKCQ","WIPF1","AGC"
"MAPK8","BCL2L11","CMGC"
"MAPK9","BCL2L11","CMGC"
"MAPK10","BCL2L11","CMGC"
"SGK1","FOXO3","AGC"
"AKT1","FOXO3","AGC"
"PRKCA","KCNQ2","AGC"
"NTRK2","FRS3","TK"
"ZAP70","LAT","TK"
"PRKACA","RGS14","AGC"
"ABL1","PSTPIP1","TK"
"CDK5","DCX","CMGC"
"CDK2","PRC1","CMGC"
"PRKACA","RGS10","AGC"
"CDK1","BUB1","CMGC"
"CSNK2A2","KIF1C","CMGC"
"CSNK2A1","KIF1C","CMGC"
"SYK","TYROBP","TK"
"MAPK9","SH3BP5","CMGC"
"MAPK12","SH3BP5","CMGC"
"PRKACA","PLIN1","AGC"
"CAMK2G","ADCY3","CAMK"
"CDK5","PIP5K1C","CMGC"
"PRKCA","DLX3","AGC"
"LYN","DOK2","TK"
"HCK","DOK2","TK"
"SRC","DOK2","TK"
"JAK2","JAK2","TK"
"ABL1","JAK2","TK"
"GSK3B","CTNND1","CMGC"
"SRC","CTNND1","TK"
"EGFR","CTNND1","TK"
"PRKACA","PFKFB2","AGC"
"AKT1","PFKFB2","AGC"
"PRKAA2","PFKFB2","CAMK"
"PRKAA1","PFKFB2","CAMK"
"PRKCA","PFKFB2","AGC"
"PRKCA","EDF1","AGC"
"ATM","NBN","ATYPICAL"
"CSNK2A1","NOL3","CMGC"
"GSK3B","MITF","CMGC"
"EPHB4","SDC3","TK"
"CSNK2A1","VAMP4","CMGC"
"DYRK1A","SF3B1","CMGC"
"CDK5","DAB1","CMGC"
"SRC","DAB1","TK"
"GSK3B","LRP6","CMGC"
"MAPK3","RPS6KA5","CMGC"
"MAPK1","RPS6KA5","CMGC"
"MAPK14","RPS6KA5","CMGC"
"FYN","TOM1L1","TK"
"MAP2K1","RPS6KA4","STE"
"MAPK14","RPS6KA4","CMGC"
"RPS6KA4","RPS6KA4","AGC"
"PRKCA","ADAP1","AGC"
"PRKCE","ADAP1","AGC"
"EGFR","STAM2","TK"
"PAK3","PAK3","STE"
"CHUK","PIAS1","OTHER"
"ATM","RAD17","ATYPICAL"
"ATR","RAD17","ATYPICAL"
"GSK3B","CABYR","CMGC"
"PTK2","TRIO","TK"
"GRK5","SNCG","AGC"
"PRKG1","PDE5A","AGC"
"STK10","STK10","STE"
"PRKACA","SNAPIN","AGC"
"SRC","MPZL1","TK"
"MAP3K6","MAP3K6","STE"
"PRKACA","ABCA1","AGC"
"BMPR1B","STAMBP","TKL"
"PRKCA","NFATC1","AGC"
"MAPKAPK2","BAG2","CAMK"
"CDK1","LATS1","CMGC"
"CDK1","PTTG1","CMGC"
"PRKACA","PPP1R17","AGC"
"PRKG1","PPP1R17","AGC"
"PRKCA","HAND1","AGC"
"PRKACA","HAND1","AGC"
"PAK4","PAK4","STE"
"ATM","CHEK2","ATYPICAL"
"ATR","CHEK2","ATYPICAL"
"CHEK2","CHEK2","CAMK"
"PLK1","CHEK2","OTHER"
"PLK3","CHEK2","OTHER"
"ATM","ABL1","ATYPICAL"
"CDK1","ABL1","CMGC"
"ABL1","ABL1","TK"
"SRC","ABL1","TK"
"CAMK2A","EGFR","CAMK"
"CAMK2G","EGFR","CAMK"
"PRKCD","EGFR","AGC"
"EGFR","EGFR","TK"
"JAK2","EGFR","TK"
"ERBB2","EGFR","TK"
"SRC","EGFR","TK"
"CSNK2A1","C1R","CMGC"
"PRKACA","FOS","AGC"
"RPS6KA1","FOS","AGC"
"MAPK1","FOS","CMGC"
"MAPK8","MYC","CMGC"
"CSNK2A2","MYC","CMGC"
"GSK3B","MYC","CMGC"
"CSNK2A1","MYC","CMGC"
"PDIK1L","TNF","OTHER"
"SRC","HLA-B","TK"
"CDK1","LMNA","CMGC"
"PRKCA","LMNA","AGC"
"PRKCA","MBP","AGC"
"PRKACA","MBP","AGC"
"MAPK1","MBP","CMGC"
"LYN","SLC4A1","TK"
"SYK","SLC4A1","TK"
"MAPK1","ESR1","CMGC"
"CDK7","ESR1","CMGC"
"RPS6KA1","ESR1","AGC"
"AKT1","ESR1","AGC"
"AKT2","ESR1","AGC"
"RPS6KA3","ESR1","AGC"
"PAK1","ESR1","STE"
"MAPK14","ESR1","CMGC"
"LCK","ESR1","TK"
"SRC","ESR1","TK"
"PRKCG","VTN","AGC"
"PRKCB","VTN","AGC"
"PRKCA","VTN","AGC"
"PRKACA","VTN","AGC"
"CSNK2A1","VTN","CMGC"
"PRKACA","HMGCR","AGC"
"ABL2","CAT","TK"
"PRKACA","RAF1","AGC"
"AKT1","RAF1","AGC"
"MAPK1","RAF1","CMGC"
"PAK3","RAF1","STE"
"SRC","RAF1","TK"
"PAK1","RAF1","STE"
"PRKCA","RAF1","AGC"
"RAF1","RAF1","TKL"
"PRKAA1","RAF1","CAMK"
"JAK2","RAF1","TK"
"PRKCI","ANXA1","AGC"
"TRPM7","ANXA1","ATYPICAL"
"SRC","ANXA1","TK"
"MAPK1","NR3C1","CMGC"
"MAPK8","NR3C1","CMGC"
"PRKDC","NR3C1","ATYPICAL"
"CDK1","TK1","CMGC"
"CSNK2A2","MYCN","CMGC"
"CSNK2A1","MYCN","CMGC"
"PRKCA","HLA-A","AGC"
"SRC","HLA-A","TK"
"ERBB2","ERBB2","TK"
"EGFR","ERBB2","TK"
"NTRK1","NTRK1","TK"
"CHEK1","TP53","CAMK"
"MAPK1","TP53","CMGC"
"PRKDC","TP53","ATYPICAL"
"ATM","TP53","ATYPICAL"
"ATR","TP53","ATYPICAL"
"PLK3","TP53","OTHER"
"CDK2","TP53","CMGC"
"CDK9","TP53","CMGC"
"CDK5","TP53","CMGC"
"GSK3B","TP53","CMGC"
"PRKCA","TP53","AGC"
"MAPKAPK5","TP53","CAMK"
"EIF2AK2","TP53","OTHER"
"CSNK2A1","TP53","CMGC"
"MAPK14","TP53","CMGC"
"HIPK2","TP53","CMGC"
"CSNK1A1","TP53","CK1"
"CSNK1D","TP53","CK1"
"VRK1","TP53","CK1"
"MAPK8","TP53","CMGC"
"MAPKAPK2","HSPB1","CAMK"
"MAPKAPK3","HSPB1","CAMK"
"GSK3B","APP","CMGC"
"CDK5","APP","CMGC"
"PDPK1","ITGB3","AGC"
"AKT1","ITGB3","AGC"
"PDK1","ITGB3","ATYPICAL"
"SRC","ITGB3","TK"
"PRKCA","HMGN1","AGC"
"PRKACA","HMGN1","AGC"
"RPS6KA3","HMGN1","AGC"
"RPS6KA5","HMGN1","AGC"
"RPS6KA4","HMGN1","AGC"
"EIF2AK2","EIF2S1","OTHER"
"PRKCD","EIF2S1","AGC"
"EIF2AK1","EIF2S1","OTHER"
"EIF2AK3","EIF2S1","OTHER"
"PRKCA","HMGN2","AGC"
"PRKACA","HMGN2","AGC"
"RPS6KA3","HMGN2","AGC"
"ADRBK1","RPLP2","AGC"
"CSNK2A1","JUN","CMGC"
"PRKDC","JUN","ATYPICAL"
"MAPK8","JUN","CMGC"
"ABL1","JUN","TK"
"PRKCB","PRKCB","AGC"
"CDK1","KRT18","CMGC"
"PRKCA","KRT18","AGC"
"RPS6KA3","KRT18","AGC"
"PRKCE","KRT18","AGC"
"CAMK2A","KRT18","CAMK"
"MAPK3","KRT8","CMGC"
"MAPK1","KRT8","CMGC"
"MAPK8","KRT8","CMGC"
"MAPK14","KRT8","CMGC"
"CSNK2A1","CD5","CMGC"
"PRKCG","CD5","AGC"
"PRKCB","CD5","AGC"
"PRKCA","CD5","AGC"
"LCK","CD5","TK"
"FYN","CD5","TK"
"PRKCA","INSR","AGC"
"INSR","INSR","TK"
"PRKCA","LCK","AGC"
"PRKACA","LCK","AGC"
"MAPK3","LCK","CMGC"
"MAPK1","LCK","CMGC"
"SYK","LCK","TK"
"LCK","LCK","TK"
"CSK","LCK","TK"
"PDGFRB","FYN","TK"
"FYN","FYN","TK"
"CSK","FYN","TK"
"CSK","GSN","TK"
"CDK2","RB1","CMGC"
"CDK1","RB1","CMGC"
"CDK4","RB1","CMGC"
"CSNK2A1","PGR","CMGC"
"CSNK2A1","CDK1","CMGC"
"PKMYT1","CDK1","OTHER"
"CDK7","CDK1","CMGC"
"LYN","CDK1","TK"
"WEE1","CDK1","OTHER"
"CDK1","CDK1","CMGC"
"PRKCG","EIF4E","AGC"
"PRKCB","EIF4E","AGC"
"PRKCA","EIF4E","AGC"
"MKNK1","EIF4E","CAMK"
"MKNK2","EIF4E","CAMK"
"CSNK2A1","GPI","CMGC"
"PLK1","NPM1","OTHER"
"CDK2","NPM1","CMGC"
"CDK1","NPM1","CMGC"
"MAPKAPK2","TH","CAMK"
"CAMK2G","TH","CAMK"
"RPS6KA5","TH","AGC"
"PRKACA","TH","AGC"
"ABL1","GPX1","TK"
"ABL2","GPX1","TK"
"FES","FES","TK"
"CSF1R","CSF1R","TK"
"PRKCA","ANXA2","AGC"
"PRKCB","ANXA2","AGC"
"TTBK1","TUBB","CK1"
"PRKCD","ADRB2","AGC"
"GRK5","ADRB2","AGC"
"INSR","ADRB2","TK"
"LCK","CD3E","TK"
"CSNK2A1","HSP90AA1","CMGC"
"PRKDC","HSP90AA1","ATYPICAL"
"CSNK1A1","HNRNPC","CK1"
"CSNK2A2","HNRNPC","CMGC"
"CSNK2A1","HNRNPC","CMGC"
"YES1","YES1","TK"
"LYN","LYN","TK"
"CSK","LYN","TK"
"MATK","LYN","TK"
"RET","RET","TK"
"PRKCA","GJB1","AGC"
"PRKACA","GJB1","AGC"
"MAPK3","SP1","CMGC"
"MAPK1","SP1","CMGC"
"CSNK2A1","SP1","CMGC"
"SRC","IGF1R","TK"
"PRKCA","RHO","AGC"
"GRK1","RHO","AGC"
"PRKACB","NGFR","AGC"
"PDK1","PDHA1","ATYPICAL"
"PDK3","PDHA1","ATYPICAL"
"PDK2","PDHA1","ATYPICAL"
"PDK4","PDHA1","ATYPICAL"
"MET","MET","TK"
"HCK","HCK","TK"
"CSK","HCK","TK"
"PRKCA","VIM","AGC"
"PRKACA","VIM","AGC"
"PAK2","VIM","STE"
"CDK1","VIM","CMGC"
"ROCK1","VIM","AGC"
"CAMK2D","VIM","CAMK"
"PRKCD","ADRA2A","AGC"
"ADRBK1","ADRA2A","AGC"
"SRC","VIL1","TK"
"CSNK2A2","CLTB","CMGC"
"CSNK2A1","CLTB","CMGC"
"AKT1","HMOX1","AGC"
"PDGFRB","PDGFRB","TK"
"CSNK2A1","HOXB7","CMGC"
"FGR","FGR","TK"
"CSK","FGR","TK"
"MAPKAPK2","ALOX5","CAMK"
"EGFR","CALM1","TK"
"INSR","CALM1","TK"
"CSNK2A1","MYB","CMGC"
"MAPK1","MYB","CMGC"
"CDK2","MYBL2","CMGC"
"AKT1","AR","AGC"
"MAPK1","AR","CMGC"
"EPHB2","RRAS","TK"
"PRKCA","BCL2","AGC"
"MAPK8","BCL2","CMGC"
"MAPK1","BCL2","CMGC"
"PRKCA","SPP1","AGC"
"CSNK2A2","SPP1","CMGC"
"CSNK2A1","SPP1","CMGC"
"PRKG1","SPP1","AGC"
"FYN","PTPRF","TK"
"GSK3B","MAPT","CMGC"
"PRKACA","MAPT","AGC"
"MAPK1","MAPT","CMGC"
"MAPK12","MAPT","CMGC"
"CDK5","MAPT","CMGC"
"PKN1","MAPT","AGC"
"PHKG1","MAPT","CAMK"
"PRKCD","MAPT","AGC"
"MARK1","MAPT","CAMK"
"CAMK2A","MAPT","CAMK"
"GSK3A","MAPT","CMGC"
"RPS6KA3","MAPT","AGC"
"CDK1","MAPT","CMGC"
"ABL1","MAPT","TK"
"RPS6KB1","MAPT","AGC"
"CDK2","PRKAR1A","CMGC"
"PRKCA","KIT","AGC"
"KIT","KIT","TK"
"SRC","KIT","TK"
"ITK","CD28","TK"
"CDC42BPA","MYL2","AGC"
"MARK1","MAP2","CAMK"
"PRKACA","MAP2","AGC"
"PRKACA","SLC2A2","AGC"
"PRKCB","EPB41","AGC"
"EGFR","EPB41","TK"
"FES","BCR","TK"
"HCK","BCR","TK"
"CDK1","TOP2A","CMGC"
"CSNK2A1","TOP2A","CMGC"
"PRKCG","TOP2A","AGC"
"PRKCB","TOP2A","AGC"
"PRKCA","TOP2A","AGC"
"CSNK2A1","VDR","CMGC"
"MAPKAPK2","SRF","CAMK"
"RPS6KA1","SRF","AGC"
"CAMK2A","SRF","CAMK"
"PRKDC","SRF","ATYPICAL"
"CSNK2A1","SRF","CMGC"
"CSNK2A2","MS4A1","CMGC"
"CSNK2A1","MS4A1","CMGC"
"LYN","CD79A","TK"
"FYN","CD79A","TK"
"MAPK1","NEFH","CMGC"
"CSNK2A1","F5","CMGC"
"CDK2","PTHLH","CMGC"
"FYN","FCGR2A","TK"
"LYN","FCGR2A","TK"
"SYK","FCGR2A","TK"
"BLK","FCGR2A","TK"
"PTK2","ACTN1","TK"
"CSNK2A1","CDH1","CMGC"
"GSK3B","CDH1","CMGC"
"PRKCA","SRC","AGC"
"PRKACA","SRC","AGC"
"CDK5","SRC","CMGC"
"SRC","SRC","TK"
"FGR","SRC","TK"
"CSK","SRC","TK"
"PRKACA","GP1BB","AGC"
"CSNK2A2","MYF5","CMGC"
"CSNK2A1","MYF5","CMGC"
"PRKG1","CFTR","AGC"
"PRKCA","CFTR","AGC"
"PRKACA","CFTR","AGC"
"PRKACA","ITGA4","AGC"
"EEF2K","EEF2","ATYPICAL"
"MAP3K10","CEACAM1","TKL"
"SRC","CEACAM1","TK"
"PLK1","TPT1","OTHER"
"PRKACA","LCP1","AGC"
"CSNK2A1","GYS1","CMGC"
"GSK3B","GYS1","CMGC"
"PRKACA","GYS1","AGC"
"PRKCA","GFAP","AGC"
"PRKACA","GFAP","AGC"
"ROCK1","GFAP","AGC"
"CAMK2A","GFAP","CAMK"
"CDK1","GFAP","CMGC"
"CSNK2A1","HCLS1","CMGC"
"LYN","HCLS1","TK"
"FGR","HCLS1","TK"
"SYK","HCLS1","TK"
"PRKACA","SI","AGC"
"PLK1","CCNB1","OTHER"
"JAK1","IL2RB","TK"
"LCK","IL2RB","TK"
"CAMK2B","ETS1","CAMK"
"CAMK2A","ETS1","CAMK"
"MAPK3","ETS1","CMGC"
"MAPK7","ETS1","CMGC"
"FYN","JUP","TK"
"FER","JUP","TK"
"SRC","JUP","TK"
"BRAF","BRAF","TKL"
"SGK1","BRAF","AGC"
"AKT1","BRAF","AGC"
"PRKACA","BRAF","AGC"
"INSR","FABP4","TK"
"CDK2","MYOD1","CMGC"
"PRKCA","MYOD1","AGC"
"CDK5","EZR","CMGC"
"PRKCA","EZR","AGC"
"ROCK1","EZR","AGC"
"EGFR","EZR","TK"
"LCK","EZR","TK"
"MAPK14","ATF2","CMGC"
"MAPK9","ATF2","CMGC"
"PRKCA","KCNE1","AGC"
"MAPK1","CD19","CMGC"
"LYN","CD19","TK"
"BTK","CD19","TK"
"ABL1","CD19","TK"
"LCK","VAV1","TK"
"YES1","CD46","TK"
"MAPK3","TCF3","CMGC"
"MAPK1","TCF3","CMGC"
"PRKACA","DSP","AGC"
"PRKDC","RPA2","ATYPICAL"
"CDK1","RPA2","CMGC"
"GSK3B","MUC1","CMGC"
"PRKCD","MUC1","AGC"
"EGFR","MUC1","TK"
"ZAP70","MUC1","TK"
"AKT1","GATA1","AGC"
"ATM","H2AX","ATYPICAL"
"ATM","CREB1","ATYPICAL"
"GSK3B","CREB1","CMGC"
"SGK1","CREB1","AGC"
"RPS6KA5","CREB1","AGC"
"RPS6KA4","CREB1","AGC"
"AKT1","CREB1","AGC"
"MAPKAPK2","CREB1","CAMK"
"RPS6KA3","CREB1","AGC"
"PRKG1","CREB1","AGC"
"RPS6KA2","CREB1","AGC"
"RPS6KA1","CREB1","AGC"
"TSSK4","CREB1","CAMK"
"PDGFRA","PDGFRA","TK"
"JAK2","CTLA4","TK"
"LCK","CTLA4","TK"
"FYN","CTLA4","TK"
"TXK","CTLA4","TK"
"FER","FER","TK"
"CAMK2A","ATP2A2","CAMK"
"BTK","PLCG2","TK"
"LCK","PLCG2","TK"
"FYN","PLCG2","TK"
"LYN","PLCG2","TK"
"HCK","PLCG2","TK"
"PRKACA","STMN1","AGC"
"CSNK2A1","STMN1","CMGC"
"CDK1","STMN1","CMGC"
"MAPK3","STMN1","CMGC"
"CSNK2A2","HMGA1","CMGC"
"CSNK2A1","HMGA1","CMGC"
"CDK1","HMGA1","CMGC"
"TYK2","IFNAR1","TK"
"PRKCZ","PRKCA","AGC"
"SYK","PRKCA","TK"
"MAPK8","JUNB","CMGC"
"MAPK14","JUNB","CMGC"
"MAPK3","GJA1","CMGC"
"MAPK1","GJA1","CMGC"
"MAPK7","GJA1","CMGC"
"CSNK1D","GJA1","CK1"
"PRKCG","GJA1","AGC"
"PRKCB","GJA1","AGC"
"PRKCA","GJA1","AGC"
"SRC","GJA1","TK"
"CDK2","UBTF","CMGC"
"MAPK3","UBTF","CMGC"
"MAPK1","UBTF","CMGC"
"MAPK3","TAL1","CMGC"
"CDK5","SYN1","CMGC"
"CAMK2G","SYN1","CAMK"
"PAK3","SYN1","STE"
"PAK1","SYN1","STE"
"PRKACA","SYN1","AGC"
"PAK2","SYN1","STE"
"CAMK1","SYN1","CAMK"
"AURKB","DES","OTHER"
"ROCK1","DES","AGC"
"CAMK2A","CEBPB","CAMK"
"MAPK1","CEBPB","CMGC"
"RPS6KA1","CEBPB","AGC"
"CSNK2A1","GAP43","CMGC"
"PRKCB","GAP43","AGC"
"CDK1","PTPN2","CMGC"
"CDK2","PTPN2","CMGC"
"CDK5","PTPN2","CMGC"
"PRKACA","TPH1","AGC"
"PRKCA","DDX5","AGC"
"CSNK2A2","LGALS3","CMGC"
"CSNK1A1","LGALS3","CK1"
"CSNK2A1","LGALS3","CMGC"
"CSNK2A1","IGFBP3","CMGC"
"FLT1","FLT1","TK"
"CLK1","PTPN1","CMGC"
"CLK2","PTPN1","CMGC"
"CSNK2A2","PTPN1","CMGC"
"CSNK2A1","PTPN1","CMGC"
"CDK1","PTPN1","CMGC"
"AKT1","PTPN1","AGC"
"INSR","PTPN1","TK"
"EGFR","PTPN1","TK"
"CSNK2A1","EGR1","CMGC"
"PRKCA","VCL","AGC"
"SRC","VCL","TK"
"PRKCD","PTPRA","AGC"
"SRC","PTPRA","TK"
"PRKCA","GABRG2","AGC"
"MAPK3","PDE6G","CMGC"
"ADRBK1","PDE6G","AGC"
"CDK1","RCC1","CMGC"
"CSNK2A1","ATF1","CMGC"
"RPS6KA5","ATF1","AGC"
"RPS6KA4","ATF1","AGC"
"PRKACA","ATF1","AGC"
"CAMK2G","ATF1","CAMK"
"CAMK1","ATF1","CAMK"
"CSNK2A1","LIG1","CMGC"
"CSNK2A1","XRCC1","CMGC"
"CSNK2A2","XRCC1","CMGC"
"PRKCA","PAM","AGC"
"UHMK1","PAM","OTHER"
"PRKCD","GNAZ","AGC"
"PRKD1","PLCG1","CAMK"
"HCK","PLCG1","TK"
"EGFR","PLCG1","TK"
"LYN","PLCG1","TK"
"SYK","PLCG1","TK"
"RET","PLCG1","TK"
"SRC","PLCG1","TK"
"JAK2","EPOR","TK"
"MAPK1","ELK1","CMGC"
"MAPK9","ELK1","CMGC"
"MAPK14","ELK1","CMGC"
"TAOK2","ELK1","STE"
"PRKCA","TNNI3","AGC"
"MAPK1","TNFRSF1A","CMGC"
"EIF2AK2","EIF2AK2","OTHER"
"JAK1","EIF2AK2","TK"
"MAPK1","SLC9A1","CMGC"
"MAPK14","SLC9A1","CMGC"
"MAPK1","RXRA","CMGC"
"MAPK7","RXRA","CMGC"
"PRKACA","NFKB1","AGC"
"GSK3B","NFKB1","CMGC"
"CHUK","NFKB1","OTHER"
"IKBKB","NFKB1","OTHER"
"PRKACA","ATP2B1","AGC"
"PRKCA","ATP2B1","AGC"
"CSNK2A1","EIF2S2","CMGC"
"SRC","CD33","TK"
"CDK1","RAB4A","CMGC"
"CDK1","LMNB1","CMGC"
"PRKCB","LMNB1","AGC"
"FYN","MAG","TK"
"EGFR","RASA1","TK"
"LCK","RASA1","TK"
"CAMK2A","PDC","CAMK"
"PRKACA","PDC","AGC"
"CAMK2G","FLNA","CAMK"
"AKT1","S1PR1","AGC"
"ADRBK1","FPR1","AGC"
"CSNK2A2","SAT1","CMGC"
"CSNK2A1","SAT1","CMGC"
"PRKACA","RYR1","AGC"
"CAMK2G","RYR1","CAMK"
"PRKG1","RYR1","AGC"
"CDK5","ERBB3","CMGC"
"CDK1","UBA1","CMGC"
"FGFR4","FGFR4","TK"
"FGFR3","FGFR3","TK"
"PRKCA","CBL","AGC"
"INSR","CBL","TK"
"EGFR","CBL","TK"
"FYN","CBL","TK"
"HCK","CBL","TK"
"RPS6KA5","NR4A1","AGC"
"AKT1","NR4A1","AGC"
"RPS6KA3","NR4A1","AGC"
"RPS6KA1","NR4A1","AGC"
"MAPK1","NR4A1","CMGC"
"PRKDC","XPA","ATYPICAL"
"ATM","XPA","ATYPICAL"
"ATR","XPA","ATYPICAL"
"CDK1","RPS6KB1","CMGC"
"MTOR","RPS6KB1","ATYPICAL"
"PDPK1","RPS6KB1","AGC"
"PDK1","RPS6KB1","ATYPICAL"
"JAK3","JAK1","TK"
"CDK2","NFYA","CMGC"
"LIMK1","CFL1","TKL"
"LIMK2","CFL1","TKL"
"TESK1","CFL1","TKL"
"NRK","CFL1","STE"
"TESK2","CFL1","TKL"
"RPS6KB1","EIF4B","AGC"
"SRC","ATP2B4","TK"
"PRKCA","ITPKA","AGC"
"PRKACA","ITPKA","AGC"
"AKT1","GATA2","AGC"
"CSNK2A1","GABRR1","CMGC"
"PRKCA","GABRR1","AGC"
"MAPK1","GABRR1","CMGC"
"PRKACA","GABRR1","AGC"
"PRKG1","GABRR1","AGC"
"PRKACA","CCND1","AGC"
"GSK3B","CCND1","CMGC"
"CSNK2A2","EEF1B2","CMGC"
"CSNK2A1","EEF1B2","CMGC"
"LCK","ACP1","TK"
"FYN","ACP1","TK"
"CDK2","CCNE1","CMGC"
"GSK3B","CCNE1","CMGC"
"CDK7","CDK2","CMGC"
"CDK20","CDK2","CMGC"
"WEE1","CDK2","OTHER"
"CDK2","CDK2","CMGC"
"CSNK1E","APC","CK1"
"GSK3B","APC","CMGC"
"PRKACA","APC","AGC"
"PRKCG","ADRBK1","AGC"
"PRKCA","ADRBK1","AGC"
"PRKCD","ADRBK1","AGC"
"MAPK3","ADRBK1","CMGC"
"PRKACA","ADRBK1","AGC"
"CSNK2A1","PSMA3","CMGC"
"CSNK2A1","NFKBIA","CMGC"
"IKBKB","NFKBIA","OTHER"
"EIF2AK2","NFKBIA","OTHER"
"RPS6KA1","NFKBIA","AGC"
"IKBKE","NFKBIA","OTHER"
"TBK1","NFKBIA","OTHER"
"LCK","NFKBIA","TK"
"SRC","NFKBIA","TK"
"PRKCB","ITGB7","AGC"
"PRKCD","ITGB7","AGC"
"PRKCQ","MSN","AGC"
"ROCK1","MSN","AGC"
"HIPK2","PAX6","CMGC"
"PRKACA","PTBP1","AGC"
"PRKACA","PLN","AGC"
"BCR","YWHAQ","ATYPICAL"
"CSNK1A1","YWHAQ","CK1"
"MAPK3","MAPK3","CMGC"
"MAP2K2","MAPK3","STE"
"CSNK2A1","ARNT","CMGC"
"CSNK2A1","APEX1","CMGC"
"PRKACA","CAD","AGC"
"MAPK1","CAD","CMGC"
"MARK1","MAP4","CAMK"
"CDK1","MAP4","CMGC"
"INSR","PIK3R1","TK"
"LCK","PIK3R1","TK"
"PRKCG","CHAT","AGC"
"PRKCB","CHAT","AGC"
"PRKCA","CHAT","AGC"
"PRKCE","CHAT","AGC"
"PRKCZ","CHAT","AGC"
"PRKCD","CHAT","AGC"
"CAMK2G","CHAT","CAMK"
"CAMK2A","CHAT","CAMK"
"RAF1","MAPK1","TKL"
"MAPK1","MAPK1","CMGC"
"RET","MAPK1","TK"
"MAP2K1","MAPK1","STE"
"MAPK1","DUSP1","CMGC"
"MAPK3","DUSP1","CMGC"
"CDK4","RBL1","CMGC"
"EPHA2","EPHA2","TK"
"EPHA3","EPHA3","TK"
"EPHA8","EPHA8","TK"
"EPHB2","EPHB2","TK"
"PRKCA","PTPN6","AGC"
"ABL1","PTPN6","TK"
"INSR","PTPN6","TK"
"LCK","PTPN6","TK"
"LYN","PTPN6","TK"
"PRKCA","SHC1","AGC"
"SRC","SHC1","TK"
"ZAP70","SHC1","TK"
"SYK","SHC1","TK"
"INSR","SHC1","TK"
"LCK","SHC1","TK"
"FYN","SHC1","TK"
"FLT3","SHC1","TK"
"PAK1","CASP1","STE"
"AKT1","NOS3","AGC"
"CAMK1","NOS1","CAMK"
"PRKCA","NOS1","AGC"
