"Kinase","Substrate","Group"
"CSNK1D","NCOA3","CK1"
"ABL1","NCOA3","TK"
"SGK1","SGK1","AGC"
"PRKAA1","DNM1L","CAMK"
"AKT1","SLC9A3R1","AGC"
"PIM1","CHEK1","CAMK"
"AURKA","AURKA","OTHER"
"SRC","AURKA","TK"
"NUAK1","PPP1R12A","CAMK"
"SRC","GAK","TK"
"PRKAA2","MDM4","CAMK"
"PLK1","AXIN1","OTHER"
"PRKAA1","FANCA","CAMK"
"LRRK2","HDAC3","TKL"
"PINK1","HDAC3","OTHER"
"SRC","TLR3","TK"
"CDK2","SUV39H1","CMGC"
"LCK","LAT","TK"
"PLK1","NUAK1","OTHER"
"GSK3B","KDM1A","CMGC"
"SGK1","TBC1D4","AGC"
"RPS6KA1","TBC1D4","AGC"
"PRKCE","CTNND1","AGC"
"VRK1","NBN","CK1"
"ULK1","ULK1","OTHER"
"ATR","WDHD1","ATYPICAL"
"PLK1","SUN1","OTHER"
"AURKB","KIF20A","OTHER"
"ATM","SNAI1","ATYPICAL"
"ERBB2","LDHA","TK"
"SRC","LDHA","TK"
"CSNK1A1","MYC","CK1"
"DYRK1A","MYC","CMGC"
"PRKCA","IL2RA","AGC"
"GSK3B","ESR1","CMGC"
"PLK1","RAF1","OTHER"
"PRKCA","ANXA1","AGC"
"RPS6KA3","TP53","AGC"
"ROCK1","TP53","AGC"
"PAK4","TP53","STE"
"MAP2K4","TP53","STE"
"RPS6KB1","TP53","AGC"
"CSK","JUN","TK"
"AURKA","NPM1","OTHER"
"GRK5","NPM1","AGC"
"GSK3B","SP1","CMGC"
"GTF2F1","SP1","ATYPICAL"
"PLK1","VIM","OTHER"
"AKT1","KRT19","AGC"
"RPS6KB2","HNRNPA1","AGC"
"AURKB","H1-4","OTHER"
"CDK1","BCL2","CMGC"
"FYN","CD28","TK"
"PRKCB","VDR","AGC"
"PRKCD","CDH1","AGC"
"SRC","XRCC6","TK"
"GTF2F1","CFTR","ATYPICAL"
"LYN","CFTR","TK"
"AURKB","PKM","OTHER"
"ALK","PKM","TK"
"MAP2K1","MYOD1","STE"
"PRKCA","ATF2","AGC"
"MAPK12","ATF2","CMGC"
"PRKAA1","NME1","CAMK"
"GSK3B","PRLR","CMGC"
