,Group,Color
0,TK,#1f77b4
1,Other,#aec7e8
2,CAMK,#ff7f0e
3,CMGC,#ffbb78
4,AGC,#2ca02c
5,STE,#98df8a
6,TKL,#d62728
7,Atypical,#ff9896
8,CK1,#9467bd
9,RGC,#c5b0d5
10,Non-kinase,#808080
