Kinase,Substrate,HighConfidenceSites,LowConfidenceSites,Source
O14965,P04637,3,0,"EPSD:PostMod, EPSD:RegPhos, PhosphoSitePlus, EPSD:Phospho.ELM, EPSD:PSEA"
O14965,P05783,1,0,EPSD:RegPhos
O14965,P06748,1,0,PhosphoSitePlus
O14965,P07195,1,0,PhosphoSitePlus
O14965,P10275,2,0,"PhosphoSitePlus, EPSD:PSEA"
O14965,P11233,1,0,"PhosphoSitePlus, EPSD:PSEA"
O14965,P12755,2,0,PhosphoSitePlus
O14965,P25490,1,0,PhosphoSitePlus
O14965,P25963,3,0,PhosphoSitePlus
O14965,P30305,1,0,"EPSD:RegPhos, PhosphoSitePlus, EPSD:PSEA, EPSD:Phospho.ELM"
O14965,P38398,1,0,"PhosphoSitePlus, EPSD:Phospho.ELM, EPSD:PostMod, EPSD:PSEA, EPSD:RegPhos"
O14965,P40337,1,0,PhosphoSitePlus
O14965,P41208,1,0,"PhosphoSitePlus, EPSD:PSEA"
O14965,P46937,1,0,PhosphoSitePlus
O14965,P49450,1,0,"PhosphoSitePlus, EPSD:Phospho.ELM, EPSD:PostMod, EPSD:PSEA, EPSD:RegPhos"
O14965,P49736,1,0,"PhosphoSitePlus, EPSD:PSEA"
O14965,P49810,1,0,PhosphoSitePlus
O14965,P49841,1,0,"PhosphoSitePlus, EPSD:PSEA"
O14965,P53350,1,0,"EPSD:RegPhos, PhosphoSitePlus, EPSD:PSEA"
O14965,P53667,2,0,PhosphoSitePlus
O14965,P53671,3,0,PhosphoSitePlus
O14965,P57073,1,0,PhosphoSitePlus
O14965,P61978,1,0,PhosphoSitePlus
O14965,P68431,2,0,"PhosphoSitePlus, EPSD:Phospho.ELM, EPSD:PostMod, EPSD:PSEA, EPSD:RegPhos"
O14965,Q06710,2,0,PhosphoSitePlus
O14965,Q13158,1,0,PhosphoSitePlus
O14965,Q13526,1,0,PhosphoSitePlus
O14965,Q13563,1,0,PhosphoSitePlus
O14965,Q13761,2,0,PhosphoSitePlus
O14965,Q14194,2,0,"PhosphoSitePlus, EPSD:PSEA"
O14965,Q14203,1,0,PhosphoSitePlus
O14965,Q14511,1,0,PhosphoSitePlus
O14965,Q14863,1,0,PhosphoSitePlus
O14965,Q14980,10,0,PhosphoSitePlus
O14965,Q15398,4,0,"PhosphoSitePlus, EPSD:PSEA, EPSD:RegPhos"
O14965,Q49MG5,2,0,"PhosphoSitePlus, EPSD:PSEA"
O14965,Q8IX03,1,0,"PhosphoSitePlus, EPSD:PSEA"
O14965,Q8NHV4,1,0,PhosphoSitePlus
O14965,Q8TEW0,1,0,"EPSD:RegPhos, PhosphoSitePlus, EPSD:PSEA"
O14965,Q8WV24,1,0,PhosphoSitePlus
O14965,Q92974,1,0,"PhosphoSitePlus, EPSD:RegPhos"
O14965,Q93073,1,0,PhosphoSitePlus
O14965,Q96CG3,1,0,PhosphoSitePlus
O14965,Q96CX2,2,0,PhosphoSitePlus
O14965,Q96EB6,1,0,PhosphoSitePlus
O14965,Q96EZ8,2,0,PhosphoSitePlus
O14965,Q96R06,1,0,PhosphoSitePlus
O14965,Q99623,1,0,PhosphoSitePlus
O14965,Q99708,2,0,PhosphoSitePlus
O14965,Q9BQG0,1,0,"PhosphoSitePlus, EPSD:PSEA"
O14965,Q9BT25,2,0,PhosphoSitePlus
O14965,Q9BXS6,1,0,PhosphoSitePlus
O14965,Q9HC77,1,0,PhosphoSitePlus
O14965,Q9NRM7,2,0,"PhosphoSitePlus, EPSD:Phospho.ELM, EPSD:RegPhos, EPSD:PostMod, EPSD:PSEA"
O14965,Q9NWT8,1,0,PhosphoSitePlus
O14965,Q9ULW0,2,0,PhosphoSitePlus
O14965,Q9UNN5,2,0,"PhosphoSitePlus, EPSD:PSEA"
O14965,Q9UPY8,1,0,"PhosphoSitePlus, EPSD:PSEA"
O14965,Q9Y657,2,0,PhosphoSitePlus
O14965,Q9Y6A5,1,0,"PhosphoSitePlus, EPSD:PSEA"
O14976,Q00610,1,0,PhosphoSitePlus
O14976,Q9H3D4,2,0,PhosphoSitePlus
O15111,O14920,0,14,"EPSD:Phospho.ELM, EPSD:PostMod, EPSD:RegPhos"
O15111,O43524,1,0,"PhosphoSitePlus, EPSD:PSEA"
O15111,P01106,2,0,PhosphoSitePlus
O15111,P03372,1,0,"PhosphoSitePlus, EPSD:PSEA"
O15111,P19838,3,0,"EPSD:PostMod, EPSD:RegPhos, PhosphoSitePlus, EPSD:Phospho.ELM, EPSD:PSEA"
O15111,P20749,1,0,PhosphoSitePlus
O15111,P24385,1,0,"EPSD:RegPhos, PhosphoSitePlus, EPSD:PSEA, EPSD:Phospho.ELM"
O15111,P25963,2,0,"EPSD:PostMod, EPSD:RegPhos, PhosphoSitePlus, EPSD:Phospho.ELM, EPSD:PSEA"
O15111,P35222,4,0,"PhosphoSitePlus, EPSD:PSEA"
O15111,P35568,0,10,"EPSD:Phospho.ELM, EPSD:PostMod, EPSD:RegPhos"
O15111,P42345,2,0,PhosphoSitePlus
O15111,P68431,1,0,PhosphoSitePlus
O15111,Q00653,7,0,"PhosphoSitePlus, EPSD:Phospho.ELM, EPSD:RegPhos, EPSD:PSEA"
O15111,Q01201,1,0,PhosphoSitePlus
O15111,Q04206,1,0,"PhosphoSitePlus, EPSD:Phospho.ELM, EPSD:PostMod, EPSD:PSEA, EPSD:RegPhos"
O15111,Q04864,1,0,"PhosphoSitePlus, EPSD:PSEA"
O15111,Q14653,0,1,EPSD:PostMod
O15111,Q15717,1,0,PhosphoSitePlus
O15111,Q676U5,1,0,PhosphoSitePlus
O15111,Q86VP1,2,0,EPSD:RegPhos
O15111,Q8N3F0,1,0,PhosphoSitePlus
O15111,Q92793,2,0,"PhosphoSitePlus, EPSD:PSEA, EPSD:RegPhos"
O15111,Q92905,2,0,PhosphoSitePlus
O15111,Q99558,3,0,PhosphoSitePlus
O15111,Q9BUZ4,1,0,"PhosphoSitePlus, EPSD:PSEA"
O15111,Q9BXH1,1,0,"PhosphoSitePlus, EPSD:PSEA"
O15111,Q9C0C7,1,0,PhosphoSitePlus
O15111,Q9Y261,2,0,"PhosphoSitePlus, EPSD:PSEA"
O15111,Q9Y4H2,0,5,"EPSD:Phospho.ELM, EPSD:PostMod, EPSD:RegPhos"
O15111,Q9Y618,2,0,"PhosphoSitePlus, EPSD:Phospho.ELM, EPSD:PSEA, EPSD:RegPhos"
O15111,Q9Y6Q9,1,0,"PhosphoSitePlus, EPSD:PSEA"
O15264,O00418,2,0,"iPTMNet:hprd, EPSD:RegPhos, PhosphoSitePlus, iPTMNet:pelm, EPSD:PSEA"
O15264,O75030,0,1,EPSD:RegPhos
O15264,P01100,0,1,"EPSD:RegPhos, EPSD:PostMod, EPSD:Phospho.ELM"
O15264,P03372,0,2,"EPSD:Phospho.ELM, EPSD:PostMod, EPSD:RegPhos"
O15264,P04150,0,1,"EPSD:RegPhos, EPSD:PostMod, EPSD:Phospho.ELM"
O15264,P04637,0,1,"EPSD:RegPhos, EPSD:PostMod, EPSD:Phospho.ELM"
O15264,P05787,0,2,"EPSD:PostMod, EPSD:RegPhos"
O15264,P06401,0,1,EPSD:RegPhos
O15264,P10242,0,1,"EPSD:RegPhos, EPSD:PostMod, EPSD:Phospho.ELM"
O15264,P10415,0,3,"EPSD:Phospho.ELM, EPSD:PostMod, EPSD:RegPhos"
O15264,P13807,3,0,PhosphoSitePlus
O15264,P14635,0,2,"EPSD:Phospho.ELM, EPSD:PostMod, EPSD:RegPhos"
O15264,P14921,0,1,"EPSD:RegPhos, EPSD:PostMod, EPSD:Phospho.ELM"
O15264,P15923,0,1,"EPSD:RegPhos, EPSD:PostMod, EPSD:Phospho.ELM"
O15264,P16949,2,0,"EPSD:PostMod, EPSD:RegPhos, PhosphoSitePlus, EPSD:Phospho.ELM, iPTMNet:pelm, EPSD:PSEA"
O15264,P17676,0,1,"EPSD:RegPhos, EPSD:PostMod, EPSD:Phospho.ELM"
O15264,P19793,0,2,"EPSD:Phospho.ELM, EPSD:PostMod, EPSD:RegPhos"
O15264,P25098,0,1,"EPSD:RegPhos, EPSD:PostMod, EPSD:Phospho.ELM"
O15264,P30281,1,0,"PhosphoSitePlus, EPSD:PSEA"
O15264,P35568,0,1,EPSD:PostMod
O15264,P35638,0,2,"EPSD:RegPhos, EPSD:Phospho.ELM"
O15264,P38936,0,2,"EPSD:Phospho.ELM, EPSD:PostMod, EPSD:RegPhos"
O15264,P42702,0,1,"EPSD:RegPhos, EPSD:PostMod, EPSD:Phospho.ELM"
O15264,P47712,0,1,"EPSD:RegPhos, EPSD:PostMod, EPSD:Phospho.ELM"
O15264,P49116,0,2,EPSD:RegPhos
O15264,P49137,0,4,"EPSD:Phospho.ELM, EPSD:PostMod, EPSD:RegPhos"
O15264,P53805,0,1,"EPSD:RegPhos, EPSD:Phospho.ELM"
O15264,P54829,0,2,EPSD:RegPhos
O15264,P61371,1,0,PhosphoSitePlus
O15264,P68431,0,1,"EPSD:RegPhos, EPSD:PostMod, EPSD:Phospho.ELM"
O15264,P84022,0,1,EPSD:RegPhos
